rep,latency_ms,baseline_packets,census_median_ms,gate_rtt_us,agent_write_us,log_sha256
1,4.998,160568,7.9,3701,2912,bbf7c1a9c48c8f833e209d70aed743b7bb9fc62df3c4c71642d5ed8e8812c67a
2,4.999,160574,7.7,3590,2730,9d57e2617c41ddf34876b7fd85076d91468373f38bbcfdebb960a0e03d19fc52
3,4.999,160569,7.8,3637,2816,9fe45dc0b2d9ef4998a6902e4036dbf794d534ca67e9244454341f86de7a0d78
4,5.499,160521,7.6,5437,4704,02021e8ddb88145c4548408b51709398b0eb69703461d36f416166d6e01c64b0
5,4.998,160554,7.6,3607,2703,d8229fe41530b2d55aa9dbce319fdf003b296b87b89bd85daaca0f4f76c7ce56
6,4.998,160553,7.6,3537,2718,0f820e5063f64015b444f425f9f6605b3093235c5048012a70d9f23d2206ccf5
7,4.999,160585,7.5,3538,2670,2337632c4f15cac3ec89bc73a159d820bf45c276010e6469e1de384885e1a91f
8,4.999,160576,7.7,3534,2757,53a74a4195adfa2a14121f97ee61a3f5cee87e8ba0427bbe3762aaac3c523af1
9,4.999,160577,7.6,3575,2741,99ab59379769b78e9b00574475ea10e898208c14c06753f1fc108f2ac10e324f
10,4.999,160519,7.4,3645,2781,21299be95af294c339e278ec389821fc1703d84f3398d48f2e252303d2657687
11,4.499,160576,7.7,3240,2529,15c6aa16a3413ef45d9ba0c57471de5254de056f13aada13332d6603ce514779
12,4.998,160562,7.7,3511,2691,7ef61ea779b9530a3a83bf1c4f58833fdfc529e2c9776bcc813164a24a57e49e
13,4.499,160538,7.2,3422,2707,7a376e80b0fe5862e37c0bee2332137d5988e4aa81cdd03206e8d8e0effe8129
14,4.999,160549,7.3,3656,2844,07d8cd52f5065ead6e211f103ce841ee012f08bee83bf31992b02769f754bf6c
15,4.999,160561,7.7,3827,3102,d581169df2fc75b36c3abfaa8ba6321fecd8605121fbada93b62e0d28da575bc
16,4.999,160517,7.6,3551,2726,287cbd2a832470147f5cb2b0945adb00f30341b3b22d404b9ff9471250fb2371
17,4.999,160580,7.5,3469,2628,cdcd760405b5a64415fe9bec43b4431194468906a25382e294f1229ebfb1290b
18,4.998,160555,7.6,3578,2768,9309b21cc4c9411a4a7947eb0f871a2f1cdad5217f84a7196c4232ecc3660f52
19,4.998,160591,7.5,3533,2678,d3f48f4ef7c75fbbdc49c10d91e2edd1fce6ae56fd09677744dceb6a8e65a4fb
20,4.498,160582,7.6,3324,2728,a72fc9c2e6aa4caa8071a4e969d4b51d5a5a2d74b2bf5493209639da31842f24
