rep,latency_ms,baseline_packets,census_median_ms,gate_rtt_us,agent_write_us,log_sha256
01,5.499,160515,7.8,4082,3250,b8e55f1bbb9662627cf4754357de0e70327149f85da5dc30d8133f68187099b4
02,4.998,160527,7.7,3998,3154,a95bae6e883e9ebbc3be97507580e56850abc4a8e612c1919ddc45873be97242
03,4.999,160608,7.9,3589,2749,2cc832a8e94a90d002e4d803080f8546097b2137224b4b8fbc1eccaceddef7dc
04,4.500,160616,7.8,3161,2463,121ae87583b2a9d2ecc922430a69e72a9e78da6f1b3f4b29962255f48c27f22a
05,4.499,160624,7.7,3509,2700,33fdb9216d76b82555440ae0d68511f613a0a9d3cbbc861422767f905aeda42f
06,4.999,160582,7.8,3575,2747,9dfbbce5706408e66db5740bb65ed861a8e7252b888987f22e7eb2fab9ea2ee5
07,4.998,160504,7.7,3463,2770,52c0b8e4e0e801ad440db5084cf179335724a8d9eb53d0df6fe97276d46a780f
08,4.999,160523,7.7,3536,2691,9006dfc81e81a504523d425e5e1cefefeaf61132d06798f8d37ea2c937c345f2
09,4.997,160547,7.6,3502,2672,6e58ccee11f3c30ab2e198679930adbeaa689e4633268f69330bafe6f69400fb
10,4.998,160566,7.6,3768,3072,428817463066c4436af7cd758411478e9502191d425e8d8b9f8d96e980c67d34
11,5.499,160536,7.7,4015,3076,f3a2dbfcab2612cca55cb1a78b7bcb59e99c09f33b23ee6fc4e2a99f0e2f21f0
12,4.498,160614,7.8,3152,2441,dc1cb855557de8caf9f3af0c950dce24e27ac2a3d97f59ca989fa00e8a83997d
13,4.998,160613,7.6,3490,2767,be4969d4a6a349ef2ea6fdb8e92414128ffe77af7586551bd7b8a077a94ed6e1
14,4.999,160579,7.6,3618,2720,88e664d97b13906327a60d794cf0d343bd73fa17a5a45c2230ebd4d8912e5621
15,4.998,160557,7.7,3691,2827,578fdbee9f79c06d0bcfea1229096ecf2cfcedd2c3e08ce868e77c69a7612d02
16,4.999,160525,7.5,3395,2672,73e0ba1cdfae344d75f62771f558c482fce96b5dafb958ea6302f12c119b9145
17,4.998,160575,7.7,3641,2926,6894087419db4d2cb56c6cd0f579faa746f55348b321be1e916b63763569849f
18,4.999,160586,7.7,3624,2862,8f3e95c0dc9b665d6441e3d8049caebcb24ea54007391a2abbc7c21409183418
19,3.998,160627,7.6,2812,1985,9e9a6e66061d2c57df5478c44a997e671d3cf1d18f41fb1d26ff58263932029b
20,4.999,160563,7.8,3650,2760,e6dabc235dd91ad4d62f17986f7bf5379ee8aae7215ffdee9943301823430286
