arm,loss_rate,action_rate,median_packets,iqr_lo_packets,iqr_hi_packets,detected_within_budget
mcp,0.015,1.00,22000000,22000000,22000000,True
mcp,0.01,1.00,22000000,22000000,22000000,True
mcp,0.005,1.00,22000000,22000000,22000000,True
mcp,0.001,1.00,22000000,22000000,22000000,True
mcp,0.0001,1.00,22000000,22000000,24000000,True
spraycheck,0.015,1.00,24000000,24000000,24000000,True
spraycheck,0.01,1.00,26000000,26000000,28000000,True
spraycheck,0.005,1.00,32000000,31500000,36000000,True
spraycheck,0.001,0.78,114000000,82000000,148000000,True
spraycheck,0.0001,0.00,,,,False
flowpulse,0.015,1.00,22000000,22000000,22000000,True
flowpulse,0.01,1.00,22000000,22000000,24000000,True
flowpulse,0.005,0.38,88000000,46000000,132000000,True
flowpulse,0.001,0.00,,,,False
flowpulse,0.0001,0.00,,,,False
