epoch,policy,chosen,verdict,correct
1,uniform,US0->CS0;US0->CS4;US0->CS8;US0->CS12,-,0
2,uniform,US1->CS1;US1->CS5;US1->CS9;US1->CS13,-,0
3,uniform,US2->CS2;US2->CS6;US2->CS10;US2->CS14,-,0
4,uniform,US3->CS3;US3->CS7;US3->CS11;US3->CS15,-,0
5,uniform,US4->CS0;US4->CS4;US4->CS8;US4->CS12,-,0
6,uniform,US5->CS1;US5->CS5;US5->CS9;US5->CS13,-,0
7,uniform,US6->CS2;US6->CS6;US6->CS10;US6->CS14,-,0
8,uniform,US7->CS3;US7->CS7;US7->CS11;US7->CS15,-,0
9,uniform,US8->CS0;US8->CS4;US8->CS8;US8->CS12,-,0
10,uniform,US9->CS1;US9->CS5;US9->CS9;US9->CS13,-,0
11,uniform,US10->CS2;US10->CS6;US10->CS10;US10->CS14,-,0
12,uniform,US11->CS3;US11->CS7;US11->CS11;US11->CS15,-,0
13,uniform,US12->CS0;US12->CS4;US12->CS8;US12->CS12,-,0
14,uniform,US13->CS1;US13->CS5;US13->CS9;US13->CS13,-,0
15,uniform,US14->CS2;US14->CS6;US14->CS10;US14->CS14,-,0
16,uniform,US15->CS3;US15->CS7;US15->CS11;US15->CS15,-,0
17,uniform,US16->CS0;US16->CS4;US16->CS8;US16->CS12,-,0
18,uniform,US17->CS1;US17->CS5;US17->CS9;US17->CS13,-,0
19,uniform,US18->CS2;US18->CS6;US18->CS10;US18->CS14,-,0
20,uniform,US19->CS3;US19->CS7;US19->CS11;US19->CS15,-,0
21,uniform,US20->CS0;US20->CS4;US20->CS8;US20->CS12,-,0
22,uniform,US21->CS1;US21->CS5;US21->CS9;US21->CS13,-,0
23,uniform,US22->CS2;US22->CS6;US22->CS10;US22->CS14,-,0
24,uniform,US23->CS3;US23->CS7;US23->CS11;US23->CS15,-,0
25,uniform,US24->CS0;US24->CS4;US24->CS8;US24->CS12,-,0
26,uniform,US25->CS1;US25->CS5;US25->CS9;US25->CS13,-,0
27,uniform,US26->CS2;US26->CS6;US26->CS10;US26->CS14,-,0
28,uniform,US27->CS3;US27->CS7;US27->CS11;US27->CS15,-,0
29,uniform,US28->CS0;US28->CS4;US28->CS8;US28->CS12,-,0
30,uniform,US29->CS1;US29->CS5;US29->CS9;US29->CS13,-,0
31,uniform,US30->CS2;US30->CS6;US30->CS10;US30->CS14,-,0
32,uniform,US31->CS3;US31->CS7;US31->CS11;US31->CS15,-,0
33,uniform,US0->CS0;US0->CS4;US0->CS8;US0->CS12,US0->CS0,1
34,uniform,US1->CS1;US1->CS5;US1->CS9;US1->CS13,-,0
35,uniform,US2->CS2;US2->CS6;US2->CS10;US2->CS14,-,0
36,uniform,US3->CS3;US3->CS7;US3->CS11;US3->CS15,-,0
37,uniform,US4->CS0;US4->CS4;US4->CS8;US4->CS12,-,0
38,uniform,US5->CS1;US5->CS5;US5->CS9;US5->CS13,-,0
39,uniform,US6->CS2;US6->CS6;US6->CS10;US6->CS14,-,0
40,uniform,US7->CS3;US7->CS7;US7->CS11;US7->CS15,-,0
41,uniform,US8->CS0;US8->CS4;US8->CS8;US8->CS12,-,0
42,uniform,US9->CS1;US9->CS5;US9->CS9;US9->CS13,-,0
43,uniform,US10->CS2;US10->CS6;US10->CS10;US10->CS14,-,0
44,uniform,US11->CS3;US11->CS7;US11->CS11;US11->CS15,-,0
45,uniform,US12->CS0;US12->CS4;US12->CS8;US12->CS12,-,0
46,uniform,US13->CS1;US13->CS5;US13->CS9;US13->CS13,-,0
47,uniform,US14->CS2;US14->CS6;US14->CS10;US14->CS14,-,0
48,uniform,US15->CS3;US15->CS7;US15->CS11;US15->CS15,-,0
49,uniform,US16->CS0;US16->CS4;US16->CS8;US16->CS12,-,0
50,uniform,US17->CS1;US17->CS5;US17->CS9;US17->CS13,-,0
51,uniform,US18->CS2;US18->CS6;US18->CS10;US18->CS14,-,0
52,uniform,US19->CS3;US19->CS7;US19->CS11;US19->CS15,-,0
53,uniform,US20->CS0;US20->CS4;US20->CS8;US20->CS12,-,0
54,uniform,US21->CS1;US21->CS5;US21->CS9;US21->CS13,-,0
55,uniform,US22->CS2;US22->CS6;US22->CS10;US22->CS14,-,0
56,uniform,US23->CS3;US23->CS7;US23->CS11;US23->CS15,-,0
57,uniform,US24->CS0;US24->CS4;US24->CS8;US24->CS12,-,0
58,uniform,US25->CS1;US25->CS5;US25->CS9;US25->CS13,-,0
59,uniform,US26->CS2;US26->CS6;US26->CS10;US26->CS14,-,0
60,uniform,US27->CS3;US27->CS7;US27->CS11;US27->CS15,-,0
61,uniform,US28->CS0;US28->CS4;US28->CS8;US28->CS12,-,0
62,uniform,US29->CS1;US29->CS5;US29->CS9;US29->CS13,-,0
63,uniform,US30->CS2;US30->CS6;US30->CS10;US30->CS14,-,0
64,uniform,US31->CS3;US31->CS7;US31->CS11;US31->CS15,-,0
65,uniform,US0->CS0;US0->CS4;US0->CS8;US0->CS12,-,0
66,uniform,US1->CS1;US1->CS5;US1->CS9;US1->CS13,-,0
67,uniform,US2->CS2;US2->CS6;US2->CS10;US2->CS14,-,0
68,uniform,US3->CS3;US3->CS7;US3->CS11;US3->CS15,-,0
69,uniform,US4->CS0;US4->CS4;US4->CS8;US4->CS12,-,0
70,uniform,US5->CS1;US5->CS5;US5->CS9;US5->CS13,-,0
71,uniform,US6->CS2;US6->CS6;US6->CS10;US6->CS14,-,0
72,uniform,US7->CS3;US7->CS7;US7->CS11;US7->CS15,-,0
73,uniform,US8->CS0;US8->CS4;US8->CS8;US8->CS12,-,0
74,uniform,US9->CS1;US9->CS5;US9->CS9;US9->CS13,-,0
75,uniform,US10->CS2;US10->CS6;US10->CS10;US10->CS14,-,0
76,uniform,US11->CS3;US11->CS7;US11->CS11;US11->CS15,-,0
77,uniform,US12->CS0;US12->CS4;US12->CS8;US12->CS12,-,0
78,uniform,US13->CS1;US13->CS5;US13->CS9;US13->CS13,-,0
79,uniform,US14->CS2;US14->CS6;US14->CS10;US14->CS14,-,0
80,uniform,US15->CS3;US15->CS7;US15->CS11;US15->CS15,-,0
81,uniform,US16->CS0;US16->CS4;US16->CS8;US16->CS12,-,0
82,uniform,US17->CS1;US17->CS5;US17->CS9;US17->CS13,-,0
83,uniform,US18->CS2;US18->CS6;US18->CS10;US18->CS14,-,0
84,uniform,US19->CS3;US19->CS7;US19->CS11;US19->CS15,-,0
85,uniform,US20->CS0;US20->CS4;US20->CS8;US20->CS12,-,0
86,uniform,US21->CS1;US21->CS5;US21->CS9;US21->CS13,-,0
87,uniform,US22->CS2;US22->CS6;US22->CS10;US22->CS14,-,0
88,uniform,US23->CS3;US23->CS7;US23->CS11;US23->CS15,-,0
89,uniform,US24->CS0;US24->CS4;US24->CS8;US24->CS12,-,0
90,uniform,US25->CS1;US25->CS5;US25->CS9;US25->CS13,-,0
91,uniform,US26->CS2;US26->CS6;US26->CS10;US26->CS14,-,0
92,uniform,US27->CS3;US27->CS7;US27->CS11;US27->CS15,-,0
93,uniform,US28->CS0;US28->CS4;US28->CS8;US28->CS12,-,0
94,uniform,US29->CS1;US29->CS5;US29->CS9;US29->CS13,-,0
95,uniform,US30->CS2;US30->CS6;US30->CS10;US30->CS14,-,0
96,uniform,US31->CS3;US31->CS7;US31->CS11;US31->CS15,-,0
97,uniform,US0->CS0;US0->CS4;US0->CS8;US0->CS12,-,0
98,uniform,US1->CS1;US1->CS5;US1->CS9;US1->CS13,-,0
99,uniform,US2->CS2;US2->CS6;US2->CS10;US2->CS14,-,0
100,uniform,US3->CS3;US3->CS7;US3->CS11;US3->CS15,-,0
101,uniform,US4->CS0;US4->CS4;US4->CS8;US4->CS12,-,0
102,uniform,US5->CS1;US5->CS5;US5->CS9;US5->CS13,-,0
103,uniform,US6->CS2;US6->CS6;US6->CS10;US6->CS14,-,0
104,uniform,US7->CS3;US7->CS7;US7->CS11;US7->CS15,-,0
105,uniform,US8->CS0;US8->CS4;US8->CS8;US8->CS12,-,0
106,uniform,US9->CS1;US9->CS5;US9->CS9;US9->CS13,-,0
107,uniform,US10->CS2;US10->CS6;US10->CS10;US10->CS14,-,0
108,uniform,US11->CS3;US11->CS7;US11->CS11;US11->CS15,-,0
109,uniform,US12->CS0;US12->CS4;US12->CS8;US12->CS12,-,0
110,uniform,US13->CS1;US13->CS5;US13->CS9;US13->CS13,-,0
111,uniform,US14->CS2;US14->CS6;US14->CS10;US14->CS14,-,0
112,uniform,US15->CS3;US15->CS7;US15->CS11;US15->CS15,-,0
113,uniform,US16->CS0;US16->CS4;US16->CS8;US16->CS12,-,0
114,uniform,US17->CS1;US17->CS5;US17->CS9;US17->CS13,-,0
115,uniform,US18->CS2;US18->CS6;US18->CS10;US18->CS14,-,0
116,uniform,US19->CS3;US19->CS7;US19->CS11;US19->CS15,-,0
117,uniform,US20->CS0;US20->CS4;US20->CS8;US20->CS12,-,0
118,uniform,US21->CS1;US21->CS5;US21->CS9;US21->CS13,-,0
119,uniform,US22->CS2;US22->CS6;US22->CS10;US22->CS14,-,0
120,uniform,US23->CS3;US23->CS7;US23->CS11;US23->CS15,-,0
121,uniform,US24->CS0;US24->CS4;US24->CS8;US24->CS12,-,0
122,uniform,US25->CS1;US25->CS5;US25->CS9;US25->CS13,-,0
123,uniform,US26->CS2;US26->CS6;US26->CS10;US26->CS14,-,0
124,uniform,US27->CS3;US27->CS7;US27->CS11;US27->CS15,-,0
125,uniform,US28->CS0;US28->CS4;US28->CS8;US28->CS12,-,0
126,uniform,US29->CS1;US29->CS5;US29->CS9;US29->CS13,-,0
127,uniform,US30->CS2;US30->CS6;US30->CS10;US30->CS14,-,0
128,uniform,US31->CS3;US31->CS7;US31->CS11;US31->CS15,-,0
129,uniform,US0->CS0;US0->CS4;US0->CS8;US0->CS12,-,0
130,uniform,US1->CS1;US1->CS5;US1->CS9;US1->CS13,-,0
131,uniform,US2->CS2;US2->CS6;US2->CS10;US2->CS14,-,0
132,uniform,US3->CS3;US3->CS7;US3->CS11;US3->CS15,-,0
133,uniform,US4->CS0;US4->CS4;US4->CS8;US4->CS12,-,0
