epoch,policy,chosen,verdict,correct
1,oracle,US0->CS0;US0->CS4;US0->CS8;US0->CS12,-,0
2,oracle,US0->CS0;US1->CS1;US1->CS5;US1->CS9,-,0
3,oracle,US0->CS0;US1->CS13;US2->CS2;US2->CS6,-,0
4,oracle,US0->CS0;US2->CS10;US2->CS14;US3->CS3,-,0
5,oracle,US0->CS0;US3->CS7;US3->CS11;US3->CS15,-,0
6,oracle,US0->CS0;US4->CS0;US4->CS4;US4->CS8,-,0
7,oracle,US0->CS0;US4->CS12;US5->CS1;US5->CS5,-,0
8,oracle,US0->CS0;US5->CS9;US5->CS13;US6->CS2,-,0
9,oracle,US0->CS0;US6->CS6;US6->CS10;US6->CS14,-,0
10,oracle,US0->CS0;US7->CS3;US7->CS7;US7->CS11,-,0
11,oracle,US0->CS0;US7->CS15;US8->CS0;US8->CS4,-,0
12,oracle,US0->CS0;US8->CS8;US8->CS12;US9->CS1,-,0
13,oracle,US0->CS0;US9->CS5;US9->CS9;US9->CS13,-,0
14,oracle,US0->CS0;US10->CS2;US10->CS6;US10->CS10,-,0
15,oracle,US0->CS0;US10->CS14;US11->CS3;US11->CS7,-,0
16,oracle,US0->CS0;US11->CS11;US11->CS15;US12->CS0,-,0
17,oracle,US0->CS0;US12->CS4;US12->CS8;US12->CS12,-,0
18,oracle,US0->CS0;US13->CS1;US13->CS5;US13->CS9,-,0
19,oracle,US0->CS0;US13->CS13;US14->CS2;US14->CS6,-,0
20,oracle,US0->CS0;US14->CS10;US14->CS14;US15->CS3,-,0
21,oracle,US0->CS0;US15->CS7;US15->CS11;US15->CS15,-,0
22,oracle,US0->CS0;US16->CS0;US16->CS4;US16->CS8,-,0
23,oracle,US0->CS0;US16->CS12;US17->CS1;US17->CS5,-,0
24,oracle,US0->CS0;US17->CS9;US17->CS13;US18->CS2,-,0
25,oracle,US0->CS0;US18->CS6;US18->CS10;US18->CS14,-,0
26,oracle,US0->CS0;US19->CS3;US19->CS7;US19->CS11,-,0
27,oracle,US0->CS0;US19->CS15;US20->CS0;US20->CS4,-,0
28,oracle,US0->CS0;US20->CS8;US20->CS12;US21->CS1,-,0
29,oracle,US0->CS0;US21->CS5;US21->CS9;US21->CS13,-,0
30,oracle,US0->CS0;US22->CS2;US22->CS6;US22->CS10,-,0
31,oracle,US0->CS0;US22->CS14;US23->CS3;US23->CS7,-,0
32,oracle,US0->CS0;US23->CS11;US23->CS15;US24->CS0,-,0
33,oracle,US0->CS0;US24->CS4;US24->CS8;US24->CS12,-,0
34,oracle,US0->CS0;US25->CS1;US25->CS5;US25->CS9,-,0
35,oracle,US0->CS0;US25->CS13;US26->CS2;US26->CS6,-,0
36,oracle,US0->CS0;US26->CS10;US26->CS14;US27->CS3,-,0
37,oracle,US0->CS0;US27->CS7;US27->CS11;US27->CS15,-,0
38,oracle,US0->CS0;US28->CS0;US28->CS4;US28->CS8,-,0
39,oracle,US0->CS0;US28->CS12;US29->CS1;US29->CS5,-,0
40,oracle,US0->CS0;US29->CS9;US29->CS13;US30->CS2,-,0
41,oracle,US0->CS0;US30->CS6;US30->CS10;US30->CS14,-,0
42,oracle,US0->CS0;US31->CS3;US31->CS7;US31->CS11,-,0
43,oracle,US0->CS0;US31->CS15;US0->CS4;US0->CS8,-,0
44,oracle,US0->CS0;US0->CS12;US1->CS1;US1->CS5,-,0
45,oracle,US0->CS0;US1->CS9;US1->CS13;US2->CS2,-,0
46,oracle,US0->CS0;US2->CS6;US2->CS10;US2->CS14,-,0
47,oracle,US0->CS0;US3->CS3;US3->CS7;US3->CS11,-,0
48,oracle,US0->CS0;US3->CS15;US4->CS0;US4->CS4,-,0
49,oracle,US0->CS0;US4->CS8;US4->CS12;US5->CS1,-,0
50,oracle,US0->CS0;US5->CS5;US5->CS9;US5->CS13,-,0
51,oracle,US0->CS0;US6->CS2;US6->CS6;US6->CS10,-,0
52,oracle,US0->CS0;US6->CS14;US7->CS3;US7->CS7,-,0
53,oracle,US0->CS0;US7->CS11;US7->CS15;US8->CS0,-,0
54,oracle,US0->CS0;US8->CS4;US8->CS8;US8->CS12,-,0
55,oracle,US0->CS0;US9->CS1;US9->CS5;US9->CS9,-,0
56,oracle,US0->CS0;US9->CS13;US10->CS2;US10->CS6,-,0
57,oracle,US0->CS0;US10->CS10;US10->CS14;US11->CS3,-,0
58,oracle,US0->CS0;US11->CS7;US11->CS11;US11->CS15,-,0
59,oracle,US0->CS0;US12->CS0;US12->CS4;US12->CS8,-,0
60,oracle,US0->CS0;US12->CS12;US13->CS1;US13->CS5,-,0
61,oracle,US0->CS0;US13->CS9;US13->CS13;US14->CS2,-,0
62,oracle,US0->CS0;US14->CS6;US14->CS10;US14->CS14,-,0
63,oracle,US0->CS0;US15->CS3;US15->CS7;US15->CS11,-,0
64,oracle,US0->CS0;US15->CS15;US16->CS0;US16->CS4,-,0
65,oracle,US0->CS0;US16->CS8;US16->CS12;US17->CS1,-,0
66,oracle,US0->CS0;US17->CS5;US17->CS9;US17->CS13,-,0
67,oracle,US0->CS0;US18->CS2;US18->CS6;US18->CS10,-,0
68,oracle,US0->CS0;US18->CS14;US19->CS3;US19->CS7,-,0
69,oracle,US0->CS0;US19->CS11;US19->CS15;US20->CS0,-,0
70,oracle,US0->CS0;US20->CS4;US20->CS8;US20->CS12,-,0
71,oracle,US0->CS0;US21->CS1;US21->CS5;US21->CS9,-,0
72,oracle,US0->CS0;US21->CS13;US22->CS2;US22->CS6,-,0
73,oracle,US0->CS0;US22->CS10;US22->CS14;US23->CS3,-,0
74,oracle,US0->CS0;US23->CS7;US23->CS11;US23->CS15,-,0
75,oracle,US0->CS0;US24->CS0;US24->CS4;US24->CS8,-,0
76,oracle,US0->CS0;US24->CS12;US25->CS1;US25->CS5,-,0
77,oracle,US0->CS0;US25->CS9;US25->CS13;US26->CS2,-,0
78,oracle,US0->CS0;US26->CS6;US26->CS10;US26->CS14,-,0
79,oracle,US0->CS0;US27->CS3;US27->CS7;US27->CS11,-,0
80,oracle,US0->CS0;US27->CS15;US28->CS0;US28->CS4,-,0
81,oracle,US0->CS0;US28->CS8;US28->CS12;US29->CS1,-,0
82,oracle,US0->CS0;US29->CS5;US29->CS9;US29->CS13,-,0
83,oracle,US0->CS0;US30->CS2;US30->CS6;US30->CS10,-,0
84,oracle,US0->CS0;US30->CS14;US31->CS3;US31->CS7,-,0
85,oracle,US0->CS0;US31->CS11;US31->CS15;US0->CS4,-,0
86,oracle,US0->CS0;US0->CS8;US0->CS12;US1->CS1,-,0
87,oracle,US0->CS0;US1->CS5;US1->CS9;US1->CS13,-,0
88,oracle,US0->CS0;US2->CS2;US2->CS6;US2->CS10,-,0
89,oracle,US0->CS0;US2->CS14;US3->CS3;US3->CS7,-,0
90,oracle,US0->CS0;US3->CS11;US3->CS15;US4->CS0,-,0
91,oracle,US0->CS0;US4->CS4;US4->CS8;US4->CS12,-,0
92,oracle,US0->CS0;US5->CS1;US5->CS5;US5->CS9,-,0
93,oracle,US0->CS0;US5->CS13;US6->CS2;US6->CS6,-,0
94,oracle,US0->CS0;US6->CS10;US6->CS14;US7->CS3,-,0
