epoch,policy,chosen,verdict,correct
1,random,US16->CS0;US29->CS13;US5->CS1;US23->CS3,-,0
2,random,US2->CS6;US15->CS11;US22->CS14;US12->CS0,-,0
3,random,US30->CS14;US13->CS13;US1->CS5;US28->CS12,-,0
4,random,US9->CS13;US9->CS5;US16->CS12;US8->CS4,-,0
5,random,US0->CS4;US5->CS1;US28->CS0;US25->CS9,-,0
6,random,US27->CS11;US3->CS7;US26->CS2;US4->CS4,-,0
7,random,US31->CS15;US22->CS10;US31->CS7;US1->CS5,-,0
8,random,US10->CS6;US25->CS13;US16->CS4;US14->CS14,-,0
9,random,US23->CS3;US6->CS10;US5->CS1;US16->CS0,-,0
10,random,US26->CS14;US1->CS13;US21->CS1;US6->CS2,-,0
11,random,US30->CS10;US19->CS15;US26->CS14;US25->CS13,-,0
12,random,US10->CS14;US10->CS10;US15->CS11;US12->CS8,-,0
13,random,US14->CS2;US20->CS4;US14->CS14;US13->CS1,-,0
14,random,US23->CS11;US10->CS14;US0->CS0;US1->CS1,-,0
15,random,US14->CS10;US19->CS3;US9->CS1;US20->CS4,-,0
16,random,US16->CS12;US12->CS8;US26->CS2;US11->CS3,-,0
17,random,US14->CS14;US22->CS2;US16->CS4;US27->CS7,-,0
18,random,US13->CS13;US0->CS12;US7->CS3;US2->CS6,-,0
19,random,US1->CS13;US19->CS15;US25->CS5;US13->CS1,-,0
20,random,US23->CS3;US21->CS5;US5->CS5;US14->CS6,-,0
21,random,US7->CS3;US9->CS1;US4->CS8;US27->CS7,-,0
22,random,US1->CS5;US22->CS6;US25->CS13;US14->CS6,-,0
23,random,US15->CS7;US23->CS11;US18->CS2;US7->CS7,-,0
24,random,US12->CS8;US1->CS1;US6->CS6;US29->CS9,-,0
25,random,US30->CS10;US2->CS10;US11->CS7;US22->CS6,-,0
26,random,US19->CS15;US16->CS4;US25->CS9;US1->CS1,-,0
27,random,US28->CS12;US25->CS13;US27->CS3;US13->CS5,-,0
28,random,US4->CS12;US1->CS1;US5->CS13;US18->CS6,-,0
29,random,US24->CS0;US11->CS7;US16->CS8;US14->CS14,-,0
30,random,US11->CS3;US21->CS9;US20->CS4;US28->CS12,-,0
31,random,US11->CS3;US3->CS15;US7->CS3;US27->CS15,-,0
32,random,US22->CS2;US13->CS5;US21->CS5;US23->CS11,-,0
33,random,US14->CS14;US15->CS3;US16->CS4;US22->CS6,-,0
34,random,US10->CS14;US0->CS8;US11->CS15;US26->CS6,-,0
35,random,US5->CS1;US23->CS11;US3->CS7;US22->CS10,-,0
36,random,US28->CS8;US31->CS11;US23->CS7;US17->CS9,-,0
37,random,US31->CS3;US7->CS11;US24->CS12;US26->CS2,-,0
38,random,US25->CS13;US11->CS11;US24->CS4;US27->CS3,-,0
39,random,US13->CS9;US3->CS7;US29->CS9;US1->CS1,-,0
40,random,US25->CS9;US15->CS7;US30->CS2;US4->CS8,-,0
41,random,US10->CS10;US11->CS7;US22->CS10;US0->CS8,-,0
42,random,US27->CS15;US26->CS14;US19->CS3;US29->CS5,-,0
43,random,US23->CS7;US5->CS1;US31->CS15;US15->CS3,-,0
44,random,US11->CS15;US28->CS4;US15->CS11;US4->CS0,-,0
45,random,US23->CS15;US14->CS10;US17->CS13;US18->CS6,-,0
46,random,US26->CS2;US23->CS3;US19->CS11;US29->CS5,-,0
47,random,US12->CS8;US23->CS11;US27->CS7;US8->CS4,-,0
48,random,US4->CS4;US19->CS11;US2->CS6;US11->CS3,-,0
49,random,US3->CS15;US13->CS13;US5->CS13;US31->CS15,-,0
50,random,US31->CS11;US7->CS3;US14->CS14;US11->CS15,-,0
51,random,US29->CS13;US19->CS3;US5->CS1;US30->CS2,-,0
52,random,US5->CS1;US17->CS13;US3->CS15;US0->CS8,-,0
53,random,US14->CS14;US28->CS12;US1->CS13;US10->CS6,-,0
54,random,US9->CS13;US12->CS0;US9->CS9;US23->CS15,-,0
55,random,US5->CS9;US1->CS5;US26->CS10;US0->CS0,-,0
56,random,US5->CS1;US2->CS10;US7->CS15;US5->CS5,-,0
57,random,US31->CS11;US27->CS15;US16->CS0;US0->CS4,-,0
58,random,US12->CS0;US11->CS3;US17->CS1;US27->CS3,-,0
59,random,US17->CS5;US3->CS3;US26->CS2;US11->CS7,-,0
60,random,US14->CS10;US4->CS12;US25->CS9;US16->CS0,-,0
61,random,US27->CS15;US29->CS5;US24->CS8;US20->CS0,-,0
62,random,US0->CS4;US17->CS9;US8->CS8;US18->CS10,-,0
63,random,US20->CS0;US16->CS8;US16->CS0;US17->CS5,-,0
64,random,US8->CS4;US7->CS3;US18->CS14;US8->CS0,-,0
65,random,US1->CS1;US13->CS13;US22->CS2;US18->CS10,-,0
66,random,US20->CS4;US22->CS2;US28->CS8;US15->CS7,-,0
67,random,US30->CS6;US30->CS10;US18->CS2;US27->CS7,-,0
68,random,US5->CS9;US3->CS7;US24->CS8;US19->CS15,-,0
69,random,US30->CS2;US24->CS12;US23->CS7;US31->CS15,-,0
70,random,US18->CS6;US29->CS1;US17->CS13;US23->CS11,-,0
71,random,US1->CS1;US26->CS14;US25->CS1;US16->CS12,-,0
72,random,US2->CS10;US19->CS15;US15->CS3;US29->CS5,-,0
73,random,US3->CS7;US29->CS13;US29->CS1;US0->CS12,-,0
74,random,US10->CS14;US19->CS7;US20->CS0;US5->CS9,-,0
75,random,US31->CS15;US21->CS9;US4->CS8;US1->CS5,-,0
76,random,US13->CS5;US24->CS4;US29->CS13;US23->CS11,-,0
77,random,US30->CS2;US18->CS10;US16->CS4;US6->CS14,-,0
78,random,US7->CS3;US15->CS11;US26->CS2;US23->CS11,-,0
79,random,US28->CS12;US3->CS7;US17->CS13;US0->CS8,-,0
80,random,US9->CS13;US2->CS14;US6->CS14;US8->CS0,-,0
81,random,US14->CS10;US27->CS7;US14->CS2;US8->CS0,-,0
82,random,US30->CS2;US26->CS14;US19->CS7;US7->CS7,-,0
83,random,US25->CS9;US7->CS7;US6->CS10;US24->CS12,-,0
84,random,US27->CS3;US24->CS4;US13->CS5;US1->CS9,-,0
85,random,US9->CS1;US13->CS1;US11->CS15;US3->CS3,-,0
86,random,US5->CS13;US19->CS7;US20->CS8;US0->CS0,-,0
87,random,US23->CS7;US15->CS15;US30->CS6;US29->CS5,-,0
88,random,US24->CS8;US12->CS0;US6->CS2;US9->CS1,-,0
89,random,US20->CS0;US28->CS8;US18->CS14;US2->CS2,-,0
90,random,US20->CS0;US29->CS1;US23->CS3;US22->CS6,-,0
91,random,US19->CS7;US8->CS8;US21->CS9;US28->CS12,-,0
92,random,US18->CS10;US26->CS14;US19->CS3;US17->CS5,-,0
93,random,US7->CS15;US7->CS3;US1->CS9;US15->CS3,-,0
94,random,US31->CS15;US10->CS2;US21->CS1;US11->CS11,-,0
95,random,US15->CS11;US9->CS13;US27->CS11;US11->CS7,-,0
96,random,US12->CS8;US23->CS11;US17->CS9;US19->CS11,-,0
97,random,US8->CS8;US7->CS7;US18->CS14;US21->CS13,-,0
98,random,US20->CS4;US21->CS1;US4->CS4;US30->CS14,-,0
99,random,US5->CS5;US4->CS12;US1->CS5;US20->CS12,-,0
100,random,US28->CS12;US21->CS5;US2->CS2;US21->CS9,-,0
101,random,US19->CS3;US6->CS10;US28->CS4;US23->CS11,-,0
102,random,US25->CS5;US15->CS7;US14->CS14;US6->CS14,-,0
103,random,US29->CS9;US19->CS11;US4->CS12;US13->CS1,-,0
104,random,US24->CS4;US12->CS4;US30->CS10;US10->CS10,-,0
105,random,US9->CS5;US22->CS14;US27->CS11;US11->CS15,-,0
106,random,US10->CS2;US12->CS4;US27->CS15;US22->CS14,-,0
107,random,US25->CS5;US24->CS4;US10->CS14;US31->CS11,-,0
108,random,US25->CS13;US2->CS14;US11->CS15;US24->CS12,-,0
109,random,US22->CS14;US31->CS3;US26->CS14;US27->CS15,-,0
110,random,US2->CS6;US9->CS5;US8->CS4;US17->CS5,-,0
111,random,US12->CS4;US5->CS5;US29->CS5;US7->CS15,-,0
112,random,US27->CS11;US1->CS1;US5->CS1;US16->CS8,-,0
113,random,US13->CS5;US28->CS12;US4->CS4;US11->CS7,-,0
114,random,US6->CS10;US27->CS15;US19->CS15;US5->CS1,-,0
115,random,US17->CS9;US11->CS7;US14->CS6;US16->CS12,-,0
116,random,US7->CS11;US0->CS8;US30->CS10;US29->CS1,-,0
117,random,US8->CS0;US11->CS15;US28->CS8;US11->CS7,-,0
118,random,US7->CS15;US15->CS15;US10->CS6;US13->CS9,-,0
119,random,US3->CS3;US30->CS14;US11->CS3;US31->CS11,-,0
120,random,US10->CS10;US15->CS15;US14->CS2;US2->CS14,-,0
121,random,US16->CS0;US23->CS7;US0->CS8;US26->CS6,-,0
122,random,US23->CS7;US6->CS14;US4->CS12;US19->CS7,-,0
123,random,US4->CS4;US13->CS9;US25->CS1;US29->CS9,-,0
124,random,US22->CS6;US4->CS4;US1->CS13;US30->CS2,-,0
125,random,US3->CS15;US20->CS0;US21->CS5;US12->CS0,-,0
126,random,US26->CS10;US15->CS3;US7->CS11;US14->CS10,-,0
127,random,US28->CS8;US4->CS12;US21->CS13;US19->CS7,-,0
128,random,US13->CS5;US26->CS10;US13->CS9;US19->CS11,-,0
129,random,US15->CS15;US6->CS2;US12->CS12;US12->CS0,-,0
130,random,US10->CS2;US6->CS6;US31->CS15;US11->CS7,-,0
131,random,US8->CS0;US22->CS2;US13->CS9;US10->CS2,-,0
132,random,US7->CS15;US30->CS10;US30->CS2;US28->CS8,-,0
133,random,US27->CS15;US13->CS9;US27->CS7;US30->CS14,-,0
134,random,US25->CS5;US31->CS15;US15->CS11;US28->CS4,-,0
135,random,US17->CS5;US4->CS4;US29->CS9;US15->CS3,-,0
136,random,US25->CS1;US29->CS9;US27->CS11;US15->CS11,-,0
137,random,US21->CS13;US14->CS10;US0->CS0;US10->CS10,-,0
138,random,US22->CS14;US31->CS7;US21->CS1;US14->CS14,-,0
139,random,US12->CS4;US24->CS12;US5->CS13;US6->CS2,-,0
140,random,US1->CS1;US18->CS6;US26->CS2;US20->CS12,-,0
141,random,US6->CS2;US17->CS13;US8->CS4;US23->CS7,-,0
142,random,US5->CS5;US7->CS3;US3->CS15;US7->CS11,-,0
143,random,US28->CS12;US19->CS15;US1->CS9;US25->CS9,-,0
144,random,US23->CS7;US8->CS8;US29->CS9;US29->CS5,-,0
145,random,US4->CS0;US25->CS5;US19->CS7;US8->CS12,-,0
146,random,US2->CS2;US24->CS12;US19->CS11;US4->CS0,-,0
147,random,US17->CS9;US16->CS8;US16->CS0;US9->CS1,-,0
148,random,US3->CS7;US28->CS0;US0->CS12;US9->CS9,-,0
149,random,US2->CS2;US5->CS9;US20->CS12;US27->CS3,-,0
150,random,US18->CS2;US4->CS0;US10->CS14;US12->CS8,-,0
151,random,US14->CS14;US25->CS5;US3->CS11;US13->CS9,-,0
152,random,US4->CS12;US6->CS14;US28->CS8;US15->CS15,-,0
153,random,US7->CS15;US11->CS7;US28->CS4;US5->CS5,-,0
154,random,US5->CS13;US14->CS10;US23->CS3;US24->CS8,-,0
155,random,US15->CS15;US29->CS1;US28->CS8;US25->CS13,-,0
156,random,US1->CS13;US25->CS1;US31->CS15;US19->CS11,-,0
157,random,US8->CS12;US24->CS0;US20->CS4;US23->CS7,-,0
158,random,US1->CS13;US2->CS14;US4->CS8;US30->CS14,-,0
159,random,US1->CS13;US21->CS5;US29->CS5;US15->CS15,-,0
160,random,US22->CS14;US3->CS11;US21->CS5;US4->CS8,-,0
161,random,US11->CS11;US29->CS9;US1->CS13;US24->CS4,-,0
162,random,US10->CS2;US19->CS3;US27->CS3;US19->CS11,-,0
163,random,US11->CS15;US2->CS14;US23->CS15;US7->CS7,-,0
164,random,US12->CS8;US1->CS5;US28->CS12;US20->CS4,-,0
165,random,US13->CS9;US30->CS14;US1->CS13;US30->CS2,-,0
166,random,US18->CS14;US8->CS12;US29->CS1;US26->CS6,-,0
167,random,US24->CS4;US28->CS12;US12->CS12;US5->CS1,-,0
168,random,US4->CS4;US29->CS9;US20->CS0;US24->CS4,-,0
169,random,US28->CS8;US12->CS4;US23->CS11;US5->CS9,-,0
170,random,US5->CS5;US4->CS8;US12->CS0;US3->CS15,-,0
171,random,US4->CS4;US27->CS7;US9->CS9;US7->CS3,-,0
172,random,US30->CS2;US8->CS12;US11->CS7;US1->CS13,-,0
173,random,US14->CS2;US31->CS3;US1->CS1;US5->CS13,-,0
174,random,US4->CS4;US0->CS4;US27->CS11;US13->CS9,-,0
175,random,US20->CS0;US3->CS15;US28->CS4;US24->CS0,-,0
176,random,US0->CS4;US14->CS6;US21->CS9;US30->CS14,-,0
177,random,US18->CS14;US14->CS2;US23->CS7;US30->CS2,-,0
178,random,US13->CS5;US3->CS7;US8->CS8;US2->CS6,-,0
179,random,US22->CS10;US8->CS4;US3->CS3;US8->CS12,-,0
180,random,US20->CS0;US6->CS2;US18->CS6;US14->CS2,-,0
181,random,US18->CS14;US26->CS2;US2->CS10;US30->CS6,-,0
182,random,US9->CS9;US23->CS3;US4->CS0;US7->CS3,-,0
183,random,US20->CS4;US2->CS2;US9->CS9;US15->CS15,-,0
184,random,US21->CS1;US24->CS8;US21->CS9;US1->CS5,-,0
185,random,US3->CS15;US22->CS6;US10->CS14;US15->CS3,-,0
186,random,US25->CS5;US27->CS11;US8->CS8;US6->CS10,-,0
187,random,US16->CS12;US6->CS10;US4->CS4;US14->CS10,-,0
188,random,US0->CS0;US31->CS3;US19->CS3;US8->CS12,-,0
