epoch,anomaly,top,top_stat,chosen
1,0,vlink:US0->CS0,0.000,4;2;3;0
2,0,vlink:US0->CS4,0.000,7;4;3;2
3,0,vlink:US0->CS4,0.000,5;7;1;4
4,0,vlink:US0->CS0,0.000,6;0;7;3
5,0,vlink:US0->CS8,0.000,42;7;2;4
6,0,vlink:US0->CS4,0.000,43;7;3;42
7,0,vlink:US0->CS4,0.000,40;7;42;3
8,0,vlink:US0->CS4,0.000,41;40;43;7
9,0,vlink:US0->CS4,0.000,46;41;7;40
10,0,vlink:US0->CS4,0.000,47;46;41;7
11,0,vlink:US0->CS4,0.000,44;47;41;46
12,0,vlink:US0->CS4,0.000,45;44;46;41
13,0,vlink:US0->CS4,0.000,48;45;1;5
14,0,vlink:US0->CS0,0.000,51;0;4;3
15,0,vlink:US1->CS9,0.000,49;42;6;2
16,0,vlink:US1->CS13,0.000,50;43;40;7
17,0,vlink:US10->CS6,0.000,52;47;46;44
18,0,vlink:US10->CS6,0.000,55;41;45;1
19,0,vlink:US1->CS13,0.000,53;5;3;48
20,0,vlink:US1->CS13,0.000,54;4;7;0
21,0,vlink:US10->CS6,0.000,58;42;46;51
22,0,vlink:US10->CS6,0.000,59;2;40;44
23,0,vlink:US10->CS6,0.000,56;6;47;43
24,0,vlink:US10->CS6,0.000,57;45;41;49
25,0,vlink:US1->CS13,0.000,62;1;7;3
26,0,vlink:US11->CS11,0.000,63;50;5;46
27,0,vlink:US1->CS13,0.000,60;52;4;48
28,0,vlink:US1->CS13,0.000,61;55;0;7
29,0,vlink:US10->CS6,0.000,64;41;42;44
30,0,vlink:US1->CS13,0.000,67;53;40;54
31,0,vlink:US1->CS13,0.000,65;2;51;47
32,0,vlink:US1->CS13,0.000,66;7;43;6
33,0,vlink:US11->CS11,0.000,68;58;45;46
34,0,vlink:US0->CS12,0.000,71;3;59;1
35,0,vlink:US1->CS13,0.000,69;56;49;5
36,0,vlink:US1->CS13,0.000,70;41;57;4
37,0,vlink:US1->CS13,0.000,74;7;62;48
38,0,vlink:US1->CS13,0.000,75;50;0;63
39,0,vlink:US1->CS13,0.000,72;52;44;42
40,0,vlink:US1->CS13,0.000,73;55;60;40
41,0,vlink:US1->CS13,0.000,78;61;47;46
42,0,vlink:US1->CS13,0.000,79;2;64;54
43,0,vlink:US1->CS13,0.000,76;53;43;67
44,0,vlink:US1->CS13,0.000,77;6;51;7
45,0,vlink:US10->CS6,0.000,10;45;65;3
46,0,vlink:US10->CS6,0.000,11;41;1;66
47,0,vlink:US1->CS13,0.000,8;58;5;68
48,0,vlink:US1->CS13,0.000,9;59;4;71
49,0,vlink:US1->CS13,0.000,80;49;56;69
50,0,vlink:US1->CS13,0.000,83;57;48;70
51,0,vlink:US1->CS13,0.000,81;0;62;74
52,0,vlink:US1->CS13,0.000,82;46;50;42
53,0,vlink:US1->CS13,0.000,84;44;63;40
54,0,vlink:US1->CS13,0.000,87;75;52;7
55,0,vlink:US11->CS15,0.000,85;47;72;55
