epoch,anomaly,top,top_stat,chosen
1,0,vlink:US0->CS0,0.000,4;1;2;3
2,0,vlink:US0->CS0,0.000,7;4;1;2
3,0,vlink:US0->CS0,0.000,5;7;0;4
4,0,vlink:US0->CS12,0.000,6;3;7;2
5,0,vlink:US0->CS4,0.000,42;7;4;1
6,0,vlink:US0->CS0,0.000,43;7;4;2
7,0,vlink:US0->CS0,0.000,40;7;43;4
8,0,vlink:US0->CS0,0.000,41;4;43;7
9,0,vlink:US0->CS0,0.000,46;41;40;42
10,0,vlink:US0->CS0,0.000,47;41;46;7
11,0,vlink:US0->CS0,0.000,44;47;41;46
12,0,vlink:US0->CS0,0.000,45;44;46;47
13,0,vlink:US0->CS0,0.000,48;45;46;44
14,0,vlink:US0->CS0,0.000,51;48;0;5
15,0,vlink:US0->CS12,0.000,49;3;6;2
16,0,vlink:US0->CS4,0.000,50;1;43;4
17,0,vlink:US1->CS13,0.000,52;40;7;41
18,0,vlink:US10->CS10,0.000,55;42;47;45
19,0,vlink:US11->CS11,0.000,53;44;46;48
20,0,vlink:US1->CS5,0.000,54;5;0;51
21,0,vlink:US0->CS8,0.000,58;2;43;6
22,0,vlink:US1->CS13,0.000,59;4;41;3
23,0,vlink:US1->CS13,0.000,56;45;7;49
24,0,vlink:US11->CS11,0.000,57;1;47;40
25,0,vlink:US11->CS11,0.000,62;48;50;46
26,0,vlink:US10->CS10,0.000,63;42;44;5
27,0,vlink:US10->CS14,0.000,60;43;52;2
28,0,vlink:US1->CS13,0.000,61;0;41;7
29,0,vlink:US1->CS1,0.000,64;55;4;51
30,0,vlink:US13->CS5,0.000,67;53;6;45
31,0,vlink:US11->CS11,0.000,65;3;54;46
32,0,vlink:US11->CS15,0.000,66;47;49;40
33,0,vlink:US1->CS13,0.000,68;58;1;59
34,0,vlink:US1->CS13,0.000,71;48;43;7
35,0,vlink:US10->CS6,0.000,69;56;5;42
36,0,vlink:US10->CS6,0.000,70;44;50;2
37,0,vlink:US10->CS6,0.000,74;41;57;0
38,0,vlink:US11->CS11,0.000,75;62;4;52
39,0,vlink:US11->CS11,0.000,72;63;46;45
40,0,vlink:US1->CS13,0.000,73;51;60;6
41,0,vlink:US1->CS13,0.000,78;61;3;55
42,0,vlink:US1->CS13,0.000,79;64;47;7
43,0,vlink:US10->CS14,0.000,76;40;53;43
44,0,vlink:US10->CS6,0.000,77;54;49;67
45,0,vlink:US10->CS6,0.000,10;1;65;48
46,0,vlink:US10->CS6,0.000,11;5;59;66
47,0,vlink:US10->CS6,0.000,8;42;58;2
48,0,vlink:US10->CS6,0.000,9;41;68;44
49,0,vlink:US11->CS11,0.000,80;71;56;0
50,0,vlink:US11->CS11,0.000,83;4;50;46
51,0,vlink:US1->CS13,0.000,81;69;45;70
52,0,vlink:US1->CS13,0.000,82;57;52;74
53,0,vlink:US1->CS13,0.000,84;62;7;6
54,0,vlink:US10->CS14,0.000,87;75;63;51
55,0,vlink:US10->CS14,0.000,85;3;72;47
