epoch,policy,chosen,verdict,correct
1,random,US125->CS37;US33->CS33;US42->CS26;US103->CS47;US62->CS14;US121->CS33;US49->CS57;US33->CS1;US51->CS35;US16->CS48;US68->CS44;US108->CS12;US56->CS8;US39->CS63;US112->CS16;US23->CS63;US39->CS39;US8->CS24;US76->CS60;US42->CS42;US40->CS32;US73->CS25;US77->CS21;US76->CS12;US97->CS1;US24->CS32;US107->CS35;US44->CS4;US22->CS6;US51->CS43;US100->CS4;US47->CS31;US36->CS12;US83->CS35;US84->CS52;US59->CS35;US2->CS34;US16->CS8;US18->CS58;US34->CS10;US117->CS21,-,0
2,random,US2->CS34;US17->CS41;US47->CS31;US76->CS60;US49->CS1;US79->CS7;US121->CS41;US55->CS63;US64->CS32;US66->CS18;US33->CS9;US30->CS62;US53->CS5;US57->CS49;US32->CS8;US60->CS28;US124->CS20;US112->CS16;US33->CS57;US21->CS61;US35->CS11;US22->CS6;US105->CS33;US84->CS12;US67->CS51;US37->CS13;US70->CS46;US82->CS10;US79->CS23;US125->CS13;US5->CS21;US89->CS33;US116->CS52;US103->CS15;US16->CS32;US76->CS20;US81->CS9;US112->CS24;US38->CS46;US22->CS54;US26->CS10,-,0
3,random,US125->CS21;US32->CS40;US98->CS2;US80->CS24;US2->CS26;US123->CS43;US74->CS42;US83->CS59;US103->CS23;US6->CS6;US21->CS13;US34->CS2;US89->CS41;US17->CS1;US69->CS53;US13->CS53;US113->CS33;US78->CS6;US59->CS27;US89->CS49;US11->CS59;US91->CS43;US27->CS19;US24->CS24;US11->CS19;US33->CS33;US99->CS35;US60->CS52;US25->CS1;US47->CS23;US49->CS1;US24->CS0;US75->CS19;US103->CS39;US85->CS29;US16->CS56;US50->CS10;US53->CS37;US62->CS14;US102->CS30;US59->CS43,-,0
4,random,US121->CS41;US90->CS10;US100->CS60;US35->CS51;US13->CS5;US91->CS43;US113->CS17;US68->CS44;US13->CS45;US78->CS6;US56->CS40;US84->CS28;US17->CS25;US44->CS60;US106->CS18;US101->CS5;US118->CS54;US94->CS14;US80->CS56;US29->CS45;US64->CS8;US4->CS52;US48->CS48;US113->CS49;US74->CS26;US33->CS17;US24->CS40;US123->CS19;US124->CS20;US106->CS50;US109->CS53;US104->CS24;US40->CS24;US75->CS35;US51->CS59;US45->CS53;US112->CS0;US72->CS48;US109->CS45;US76->CS60;US42->CS10,-,0
5,random,US24->CS56;US87->CS23;US85->CS29;US65->CS57;US101->CS5;US59->CS35;US11->CS43;US14->CS22;US88->CS24;US43->CS19;US95->CS31;US38->CS46;US98->CS42;US57->CS17;US36->CS36;US127->CS55;US17->CS17;US88->CS56;US81->CS49;US41->CS41;US115->CS19;US46->CS30;US19->CS59;US49->CS41;US4->CS12;US87->CS15;US84->CS4;US101->CS21;US62->CS54;US49->CS25;US64->CS56;US58->CS58;US73->CS1;US47->CS31;US62->CS46;US59->CS3;US7->CS39;US87->CS31;US1->CS9;US91->CS11;US98->CS34,-,0
6,random,US60->CS28;US87->CS23;US55->CS63;US27->CS11;US91->CS11;US94->CS6;US121->CS57;US120->CS56;US57->CS1;US125->CS37;US13->CS29;US62->CS46;US98->CS2;US19->CS11;US30->CS6;US50->CS26;US119->CS55;US71->CS63;US120->CS32;US53->CS45;US71->CS47;US2->CS58;US118->CS14;US116->CS36;US117->CS5;US43->CS35;US125->CS13;US76->CS52;US17->CS9;US97->CS17;US45->CS29;US110->CS6;US104->CS24;US6->CS46;US74->CS26;US61->CS53;US66->CS2;US49->CS9;US18->CS50;US116->CS44;US19->CS19,-,0
7,random,US7->CS7;US14->CS46;US108->CS44;US15->CS7;US25->CS41;US123->CS11;US85->CS37;US63->CS15;US97->CS41;US76->CS4;US91->CS59;US104->CS56;US109->CS5;US64->CS24;US34->CS18;US103->CS47;US58->CS18;US13->CS29;US110->CS54;US41->CS49;US5->CS45;US86->CS14;US50->CS2;US8->CS16;US31->CS47;US45->CS21;US39->CS47;US127->CS7;US30->CS62;US124->CS20;US27->CS3;US19->CS59;US2->CS58;US76->CS44;US9->CS25;US17->CS1;US10->CS26;US10->CS10;US1->CS25;US74->CS58;US122->CS26,-,0
8,random,US109->CS29;US50->CS26;US78->CS6;US101->CS29;US41->CS9;US34->CS58;US122->CS42;US64->CS32;US47->CS63;US28->CS60;US32->CS40;US108->CS52;US80->CS40;US77->CS45;US56->CS56;US80->CS0;US118->CS46;US75->CS27;US108->CS44;US117->CS21;US3->CS27;US116->CS12;US102->CS62;US14->CS6;US117->CS53;US112->CS0;US68->CS60;US66->CS50;US35->CS51;US76->CS20;US84->CS20;US107->CS35;US122->CS26;US96->CS48;US42->CS34;US72->CS8;US125->CS45;US94->CS38;US66->CS26;US55->CS55;US41->CS33,-,0
9,random,US94->CS62;US105->CS9;US101->CS21;US89->CS49;US104->CS40;US114->CS42;US43->CS3;US26->CS58;US69->CS5;US35->CS43;US88->CS32;US95->CS23;US82->CS34;US77->CS53;US94->CS38;US5->CS53;US35->CS27;US53->CS37;US123->CS11;US61->CS61;US120->CS56;US23->CS55;US118->CS6;US113->CS49;US4->CS28;US37->CS45;US106->CS26;US32->CS32;US126->CS14;US21->CS5;US65->CS33;US37->CS13;US76->CS28;US42->CS10;US67->CS35;US47->CS55;US77->CS45;US125->CS37;US107->CS11;US57->CS17;US77->CS29,-,0
10,random,US36->CS20;US40->CS32;US53->CS61;US6->CS30;US13->CS45;US95->CS39;US12->CS60;US101->CS53;US2->CS34;US124->CS36;US90->CS42;US48->CS56;US96->CS32;US51->CS19;US19->CS43;US83->CS3;US108->CS4;US105->CS33;US102->CS6;US100->CS52;US89->CS57;US88->CS8;US0->CS32;US111->CS31;US51->CS3;US26->CS50;US53->CS45;US29->CS45;US56->CS48;US56->CS16;US109->CS61;US122->CS34;US49->CS57;US10->CS18;US100->CS20;US74->CS50;US20->CS36;US64->CS24;US44->CS12;US122->CS42;US38->CS14,-,0
11,random,US53->CS61;US32->CS8;US38->CS14;US22->CS30;US87->CS23;US67->CS19;US114->CS34;US77->CS45;US61->CS29;US2->CS2;US5->CS21;US123->CS19;US127->CS47;US113->CS57;US17->CS1;US45->CS61;US28->CS36;US73->CS49;US23->CS7;US87->CS15;US35->CS35;US33->CS9;US45->CS5;US65->CS25;US75->CS35;US34->CS58;US57->CS33;US104->CS56;US76->CS36;US100->CS36;US101->CS21;US21->CS37;US78->CS38;US10->CS34;US96->CS48;US84->CS60;US37->CS29;US47->CS55;US32->CS0;US124->CS36;US81->CS1,-,0
