epoch,policy,chosen,verdict,correct
1,random,US51->CS35;US74->CS2;US35->CS3;US56->CS32;US73->CS25;US125->CS61;US17->CS1;US116->CS36;US62->CS38;US12->CS36;US117->CS37;US48->CS16;US7->CS15;US5->CS5;US46->CS46;US111->CS7;US35->CS27;US47->CS15;US30->CS46;US29->CS61;US122->CS2;US111->CS23;US87->CS39;US79->CS55;US83->CS19;US121->CS25;US0->CS56;US120->CS40;US47->CS47;US17->CS17;US60->CS44;US10->CS18;US80->CS48;US45->CS13;US16->CS16;US69->CS5;US112->CS56;US91->CS3;US75->CS43;US24->CS32;US42->CS10,-,0
2,random,US111->CS23;US5->CS37;US126->CS54;US119->CS7;US65->CS1;US93->CS13;US71->CS63;US60->CS12;US11->CS3;US99->CS59;US60->CS20;US111->CS7;US121->CS41;US108->CS20;US101->CS53;US51->CS35;US18->CS26;US87->CS7;US20->CS4;US82->CS18;US88->CS32;US104->CS32;US1->CS41;US126->CS14;US24->CS32;US109->CS5;US7->CS39;US82->CS34;US65->CS33;US16->CS48;US105->CS41;US85->CS61;US36->CS20;US39->CS47;US31->CS47;US47->CS47;US73->CS25;US62->CS54;US41->CS41;US36->CS36;US8->CS24,-,0
3,random,US25->CS57;US113->CS49;US51->CS43;US25->CS17;US111->CS47;US111->CS15;US87->CS23;US80->CS8;US117->CS37;US43->CS43;US30->CS62;US63->CS7;US33->CS57;US25->CS9;US42->CS18;US53->CS21;US42->CS2;US104->CS56;US40->CS8;US107->CS19;US92->CS12;US77->CS29;US121->CS25;US59->CS27;US22->CS38;US31->CS23;US92->CS60;US44->CS20;US65->CS9;US77->CS53;US89->CS33;US16->CS8;US24->CS40;US6->CS22;US111->CS31;US84->CS44;US1->CS9;US76->CS52;US9->CS49;US50->CS50;US117->CS45,-,0
4,random,US8->CS16;US87->CS47;US48->CS32;US79->CS15;US106->CS26;US89->CS9;US97->CS49;US24->CS56;US3->CS51;US12->CS52;US19->CS3;US47->CS31;US7->CS63;US77->CS21;US85->CS13;US104->CS16;US17->CS41;US85->CS45;US70->CS6;US76->CS28;US102->CS14;US110->CS30;US15->CS15;US0->CS56;US126->CS38;US95->CS63;US81->CS9;US78->CS30;US56->CS56;US84->CS60;US32->CS0;US3->CS3;US68->CS12;US7->CS23;US59->CS51;US59->CS19;US104->CS24;US10->CS18;US57->CS25;US46->CS22;US28->CS4,-,0
5,random,US105->CS1;US108->CS44;US22->CS46;US70->CS62;US50->CS50;US12->CS44;US117->CS61;US112->CS24;US81->CS49;US96->CS56;US44->CS4;US29->CS5;US64->CS32;US91->CS59;US87->CS15;US34->CS10;US104->CS56;US69->CS21;US104->CS8;US125->CS13;US76->CS4;US4->CS44;US3->CS51;US33->CS25;US32->CS48;US127->CS39;US80->CS16;US118->CS38;US81->CS33;US62->CS14;US22->CS22;US70->CS14;US88->CS40;US51->CS11;US15->CS63;US83->CS11;US112->CS8;US80->CS24;US37->CS53;US63->CS23;US46->CS22,-,0
6,random,US91->CS43;US49->CS17;US59->CS27;US109->CS21;US94->CS22;US66->CS42;US37->CS61;US87->CS39;US65->CS9;US97->CS1;US7->CS7;US90->CS58;US30->CS54;US25->CS25;US18->CS42;US93->CS53;US98->CS42;US39->CS15;US29->CS37;US93->CS61;US42->CS50;US88->CS16;US62->CS14;US122->CS26;US79->CS63;US12->CS12;US51->CS11;US25->CS41;US57->CS33;US30->CS22;US38->CS54;US118->CS38;US107->CS59;US82->CS58;US78->CS46;US50->CS2;US18->CS10;US55->CS7;US68->CS4;US5->CS29;US80->CS56,-,0
7,random,US13->CS21;US94->CS38;US28->CS44;US79->CS31;US125->CS45;US6->CS6;US24->CS48;US40->CS56;US70->CS22;US9->CS49;US60->CS28;US94->CS6;US112->CS40;US30->CS30;US60->CS20;US62->CS62;US53->CS5;US115->CS11;US106->CS10;US55->CS31;US108->CS28;US1->CS17;US33->CS9;US111->CS47;US4->CS20;US77->CS21;US123->CS35;US15->CS15;US103->CS39;US95->CS55;US60->CS36;US37->CS37;US116->CS36;US83->CS11;US61->CS53;US64->CS56;US57->CS41;US32->CS24;US75->CS51;US15->CS55;US98->CS10,-,0
8,random,US24->CS40;US70->CS30;US75->CS59;US119->CS15;US13->CS61;US108->CS36;US70->CS46;US43->CS43;US13->CS53;US55->CS63;US50->CS50;US32->CS56;US56->CS16;US117->CS45;US59->CS19;US95->CS39;US41->CS49;US17->CS25;US26->CS18;US38->CS38;US56->CS48;US24->CS8;US84->CS44;US68->CS36;US66->CS18;US40->CS0;US99->CS59;US92->CS44;US10->CS18;US97->CS1;US64->CS32;US96->CS8;US12->CS36;US93->CS5;US34->CS58;US2->CS58;US103->CS15;US120->CS32;US60->CS12;US43->CS27;US88->CS24,-,0
9,random,US69->CS29;US25->CS25;US26->CS34;US76->CS12;US90->CS34;US80->CS0;US79->CS63;US11->CS51;US82->CS50;US89->CS25;US100->CS12;US68->CS12;US30->CS14;US126->CS22;US115->CS43;US83->CS27;US120->CS56;US55->CS39;US96->CS24;US5->CS45;US103->CS63;US78->CS54;US119->CS31;US48->CS56;US119->CS47;US55->CS15;US62->CS6;US77->CS13;US66->CS26;US53->CS37;US41->CS57;US7->CS23;US32->CS48;US27->CS27;US83->CS35;US74->CS2;US34->CS34;US59->CS35;US118->CS38;US94->CS14;US36->CS44,-,0
10,random,US81->CS49;US107->CS19;US73->CS17;US86->CS30;US108->CS20;US5->CS21;US64->CS16;US56->CS40;US117->CS29;US29->CS29;US115->CS59;US54->CS30;US10->CS42;US35->CS43;US98->CS50;US110->CS14;US90->CS42;US6->CS6;US24->CS48;US9->CS25;US107->CS11;US121->CS9;US47->CS31;US82->CS42;US39->CS47;US42->CS50;US83->CS11;US40->CS0;US68->CS60;US60->CS28;US0->CS8;US7->CS47;US32->CS8;US35->CS59;US58->CS34;US100->CS28;US66->CS18;US20->CS28;US101->CS5;US25->CS17;US118->CS14,-,0
