epoch,link_name,tx,rx,drop
1,US0->CS0,27423,27423,0
1,US0->CS8,27395,27395,0
1,US0->CS16,27545,27545,0
1,US0->CS24,27585,27585,0
1,US0->CS32,27864,27864,0
1,US0->CS40,27733,27733,0
1,US0->CS48,27856,27856,0
1,US0->CS56,27225,27225,0
1,US1->CS1,27334,27334,0
1,US1->CS9,27456,27456,0
1,US1->CS17,27221,27221,0
1,US1->CS25,27583,27583,0
1,US1->CS33,27941,27941,0
1,US1->CS41,27461,27461,0
1,US1->CS49,27555,27555,0
1,US1->CS57,27350,27350,0
1,US2->CS2,27576,27576,0
1,US2->CS10,27465,27465,0
1,US2->CS18,27571,27571,0
1,US2->CS26,27614,27614,0
1,US2->CS34,27630,27630,0
1,US2->CS42,27497,27497,0
1,US2->CS50,27656,27656,0
1,US2->CS58,27442,27442,0
1,US3->CS3,27466,27466,0
1,US3->CS11,27406,27406,0
1,US3->CS19,27416,27416,0
1,US3->CS27,27376,27376,0
1,US3->CS35,27598,27598,0
1,US3->CS43,27597,27597,0
1,US3->CS51,27647,27647,0
1,US3->CS59,27716,27716,0
1,US4->CS4,27668,27668,0
1,US4->CS12,27410,27410,0
1,US4->CS20,27552,27552,0
1,US4->CS28,27511,27511,0
1,US4->CS36,27312,27312,0
1,US4->CS44,27761,27761,0
1,US4->CS52,27642,27642,0
1,US4->CS60,27504,27504,0
1,US5->CS5,27848,27848,0
1,US5->CS13,27433,27433,0
1,US5->CS21,27555,27555,0
1,US5->CS29,27550,27550,0
1,US5->CS37,27708,27707,0
1,US5->CS45,27646,27645,0
1,US5->CS53,27545,27545,0
1,US5->CS61,27875,27875,0
1,US6->CS6,27517,27517,0
1,US6->CS14,27657,27657,0
1,US6->CS22,27597,27597,0
1,US6->CS30,27374,27374,0
1,US6->CS38,27447,27447,0
1,US6->CS46,27276,27276,0
1,US6->CS54,27457,27457,0
1,US6->CS62,27789,27789,0
1,US7->CS7,27579,27579,0
1,US7->CS15,27394,27394,0
1,US7->CS23,27424,27424,0
1,US7->CS31,27867,27867,0
1,US7->CS39,27599,27599,0
1,US7->CS47,27873,27873,0
1,US7->CS55,27788,27788,0
1,US7->CS63,27326,27326,0
1,US8->CS0,0,0,0
1,US8->CS8,0,0,0
1,US8->CS16,0,0,0
1,US8->CS24,0,0,0
1,US8->CS32,0,0,0
1,US8->CS40,0,0,0
1,US8->CS48,0,0,0
1,US8->CS56,0,0,0
1,US9->CS1,0,0,0
1,US9->CS9,0,0,0
1,US9->CS17,0,0,0
1,US9->CS25,0,0,0
1,US9->CS33,0,0,0
1,US9->CS41,0,0,0
1,US9->CS49,0,0,0
1,US9->CS57,0,0,0
1,US10->CS2,0,0,0
1,US10->CS10,0,0,0
1,US10->CS18,0,0,0
1,US10->CS26,0,0,0
1,US10->CS34,0,0,0
1,US10->CS42,0,0,0
1,US10->CS50,0,0,0
1,US10->CS58,0,0,0
1,US11->CS3,0,0,0
1,US11->CS11,0,0,0
1,US11->CS19,0,0,0
1,US11->CS27,0,0,0
1,US11->CS35,0,0,0
1,US11->CS43,0,0,0
1,US11->CS51,0,0,0
1,US11->CS59,0,0,0
1,US12->CS4,0,0,0
1,US12->CS12,0,0,0
1,US12->CS20,0,0,0
1,US12->CS28,0,0,0
1,US12->CS36,0,0,0
1,US12->CS44,0,0,0
1,US12->CS52,0,0,0
1,US12->CS60,0,0,0
1,US13->CS5,0,0,0
1,US13->CS13,0,0,0
1,US13->CS21,0,0,0
1,US13->CS29,0,0,0
1,US13->CS37,0,0,0
1,US13->CS45,0,0,0
1,US13->CS53,0,0,0
1,US13->CS61,0,0,0
1,US14->CS6,0,0,0
1,US14->CS14,0,0,0
1,US14->CS22,0,0,0
1,US14->CS30,0,0,0
1,US14->CS38,0,0,0
1,US14->CS46,0,0,0
1,US14->CS54,0,0,0
1,US14->CS62,0,0,0
1,US15->CS7,0,0,0
1,US15->CS15,0,0,0
1,US15->CS23,0,0,0
1,US15->CS31,0,0,0
1,US15->CS39,0,0,0
1,US15->CS47,0,0,0
1,US15->CS55,0,0,0
1,US15->CS63,0,0,0
1,US16->CS0,0,0,0
1,US16->CS8,0,0,0
1,US16->CS16,0,0,0
1,US16->CS24,0,0,0
1,US16->CS32,0,0,0
1,US16->CS40,0,0,0
1,US16->CS48,0,0,0
1,US16->CS56,0,0,0
1,US17->CS1,0,0,0
1,US17->CS9,0,0,0
1,US17->CS17,0,0,0
1,US17->CS25,0,0,0
1,US17->CS33,0,0,0
1,US17->CS41,0,0,0
1,US17->CS49,0,0,0
1,US17->CS57,0,0,0
1,US18->CS2,0,0,0
1,US18->CS10,0,0,0
1,US18->CS18,0,0,0
1,US18->CS26,0,0,0
1,US18->CS34,0,0,0
1,US18->CS42,0,0,0
1,US18->CS50,0,0,0
1,US18->CS58,0,0,0
1,US19->CS3,0,0,0
1,US19->CS11,0,0,0
1,US19->CS19,0,0,0
1,US19->CS27,0,0,0
1,US19->CS35,0,0,0
1,US19->CS43,0,0,0
1,US19->CS51,0,0,0
1,US19->CS59,0,0,0
1,US20->CS4,0,0,0
1,US20->CS12,0,0,0
1,US20->CS20,0,0,0
1,US20->CS28,0,0,0
1,US20->CS36,0,0,0
1,US20->CS44,0,0,0
1,US20->CS52,0,0,0
1,US20->CS60,0,0,0
1,US21->CS5,0,0,0
1,US21->CS13,0,0,0
