epoch,link_name,tx,rx,drop
1,US0->CS0,27564,27564,0
1,US0->CS8,27823,27823,0
1,US0->CS16,27597,27597,0
1,US0->CS24,27704,27704,0
1,US0->CS32,27512,27512,0
1,US0->CS40,27609,27609,0
1,US0->CS48,27654,27654,0
1,US0->CS56,27562,27562,0
1,US1->CS1,27598,27598,0
1,US1->CS9,27289,27289,0
1,US1->CS17,27916,27916,0
1,US1->CS25,27533,27533,0
1,US1->CS33,27471,27471,0
1,US1->CS41,27530,27530,0
1,US1->CS49,27540,27540,0
1,US1->CS57,27411,27411,0
1,US2->CS2,27629,27629,0
1,US2->CS10,27621,27621,0
1,US2->CS18,27482,27482,0
1,US2->CS26,27290,27290,0
1,US2->CS34,27408,27408,0
1,US2->CS42,27172,27172,0
1,US2->CS50,27554,27554,0
1,US2->CS58,27630,27630,0
1,US3->CS3,27587,27587,0
1,US3->CS11,27395,27395,0
1,US3->CS19,27842,27842,0
1,US3->CS27,27608,27608,0
1,US3->CS35,27823,27823,0
1,US3->CS43,27663,27663,0
1,US3->CS51,27562,27562,0
1,US3->CS59,27412,27412,0
1,US4->CS4,27441,27441,0
1,US4->CS12,27587,27587,0
1,US4->CS20,27612,27612,0
1,US4->CS28,27871,27871,0
1,US4->CS36,27253,27253,0
1,US4->CS44,27652,27652,0
1,US4->CS52,27650,27650,0
1,US4->CS60,27595,27595,0
1,US5->CS5,27699,27699,0
1,US5->CS13,27591,27591,0
1,US5->CS21,27505,27505,0
1,US5->CS29,27467,27467,0
1,US5->CS37,27711,27711,0
1,US5->CS45,27524,27524,0
1,US5->CS53,27406,27405,0
1,US5->CS61,27525,27525,0
1,US6->CS6,27814,27814,0
1,US6->CS14,27353,27353,0
1,US6->CS22,27517,27517,0
1,US6->CS30,27394,27394,0
1,US6->CS38,27608,27608,0
1,US6->CS46,27700,27700,0
1,US6->CS54,27392,27392,0
1,US6->CS62,27731,27731,0
1,US7->CS7,27231,27230,0
1,US7->CS15,27586,27586,0
1,US7->CS23,27299,27299,0
1,US7->CS31,27719,27719,0
1,US7->CS39,27519,27519,0
1,US7->CS47,27551,27551,0
1,US7->CS55,27496,27496,0
1,US7->CS63,27713,27713,0
1,US8->CS0,0,0,0
1,US8->CS8,0,0,0
1,US8->CS16,0,0,0
1,US8->CS24,0,0,0
1,US8->CS32,0,0,0
1,US8->CS40,0,0,0
1,US8->CS48,0,0,0
1,US8->CS56,0,0,0
1,US9->CS1,0,0,0
1,US9->CS9,0,0,0
1,US9->CS17,0,0,0
1,US9->CS25,0,0,0
1,US9->CS33,0,0,0
1,US9->CS41,0,0,0
1,US9->CS49,0,0,0
1,US9->CS57,0,0,0
1,US10->CS2,0,0,0
1,US10->CS10,0,0,0
1,US10->CS18,0,0,0
1,US10->CS26,0,0,0
1,US10->CS34,0,0,0
1,US10->CS42,0,0,0
1,US10->CS50,0,0,0
1,US10->CS58,0,0,0
1,US11->CS3,0,0,0
1,US11->CS11,0,0,0
1,US11->CS19,0,0,0
1,US11->CS27,0,0,0
1,US11->CS35,0,0,0
1,US11->CS43,0,0,0
1,US11->CS51,0,0,0
1,US11->CS59,0,0,0
1,US12->CS4,0,0,0
1,US12->CS12,0,0,0
1,US12->CS20,0,0,0
1,US12->CS28,0,0,0
1,US12->CS36,0,0,0
1,US12->CS44,0,0,0
1,US12->CS52,0,0,0
1,US12->CS60,0,0,0
1,US13->CS5,0,0,0
1,US13->CS13,0,0,0
1,US13->CS21,0,0,0
1,US13->CS29,0,0,0
1,US13->CS37,0,0,0
1,US13->CS45,0,0,0
1,US13->CS53,0,0,0
1,US13->CS61,0,0,0
1,US14->CS6,0,0,0
1,US14->CS14,0,0,0
1,US14->CS22,0,0,0
1,US14->CS30,0,0,0
1,US14->CS38,0,0,0
1,US14->CS46,0,0,0
1,US14->CS54,0,0,0
1,US14->CS62,0,0,0
1,US15->CS7,0,0,0
1,US15->CS15,0,0,0
1,US15->CS23,0,0,0
1,US15->CS31,0,0,0
1,US15->CS39,0,0,0
1,US15->CS47,0,0,0
1,US15->CS55,0,0,0
1,US15->CS63,0,0,0
1,US16->CS0,0,0,0
1,US16->CS8,0,0,0
1,US16->CS16,0,0,0
1,US16->CS24,0,0,0
1,US16->CS32,0,0,0
1,US16->CS40,0,0,0
1,US16->CS48,0,0,0
1,US16->CS56,0,0,0
1,US17->CS1,0,0,0
1,US17->CS9,0,0,0
1,US17->CS17,0,0,0
1,US17->CS25,0,0,0
1,US17->CS33,0,0,0
1,US17->CS41,0,0,0
1,US17->CS49,0,0,0
1,US17->CS57,0,0,0
1,US18->CS2,0,0,0
1,US18->CS10,0,0,0
1,US18->CS18,0,0,0
1,US18->CS26,0,0,0
1,US18->CS34,0,0,0
1,US18->CS42,0,0,0
1,US18->CS50,0,0,0
1,US18->CS58,0,0,0
1,US19->CS3,0,0,0
1,US19->CS11,0,0,0
1,US19->CS19,0,0,0
1,US19->CS27,0,0,0
1,US19->CS35,0,0,0
1,US19->CS43,0,0,0
1,US19->CS51,0,0,0
1,US19->CS59,0,0,0
1,US20->CS4,0,0,0
1,US20->CS12,0,0,0
1,US20->CS20,0,0,0
1,US20->CS28,0,0,0
1,US20->CS36,0,0,0
1,US20->CS44,0,0,0
1,US20->CS52,0,0,0
1,US20->CS60,0,0,0
1,US21->CS5,0,0,0
1,US21->CS13,0,0,0
1,US21->CS21,0,0,0
1,US21->CS29,0,0,0
1,US21->CS37,0,0,0
1,US21->CS45,0,0,0
1,US21->CS53,0,0,0
1,US21->CS61,0,0,0
1,US22->CS6,0,0,0
1,US22->CS14,0,0,0
1,US22->CS22,0,0,0
1,US22->CS30,0,0,0
1,US22->CS38,0,0,0
1,US22->CS46,0,0,0
1,US22->CS54,0,0,0
1,US22->CS62,0,0,0
1,US23->CS7,0,0,0
1,US23->CS15,0,0,0
1,US23->CS23,0,0,0
1,US23->CS31,0,0,0
1,US23->CS39,0,0,0
1,US23->CS47,0,0,0
1,US23->CS55,0,0,0
1,US23->CS63,0,0,0
1,US24->CS0,0,0,0
1,US24->CS8,0,0,0
1,US24->CS16,0,0,0
1,US24->CS24,0,0,0
