epoch,policy,chosen,verdict,correct
1,random,US57->CS41;US2->CS10;US81->CS33;US7->CS31;US118->CS30;US13->CS21;US112->CS56;US123->CS3;US45->CS61;US96->CS56;US23->CS7;US102->CS38;US70->CS38;US120->CS8;US35->CS59;US26->CS2;US72->CS24;US25->CS17;US97->CS33;US77->CS21;US0->CS16;US27->CS59;US4->CS44;US45->CS53;US124->CS52;US110->CS54;US34->CS2;US111->CS7;US15->CS63;US75->CS27;US13->CS13;US125->CS45;US116->CS52;US43->CS51;US6->CS46;US85->CS45;US45->CS13;US93->CS53;US71->CS23;US76->CS44;US17->CS33,-,0
2,random,US94->CS6;US25->CS1;US36->CS60;US86->CS38;US40->CS56;US126->CS38;US20->CS44;US106->CS18;US86->CS22;US49->CS9;US88->CS8;US95->CS23;US38->CS46;US3->CS3;US27->CS43;US62->CS62;US59->CS51;US93->CS21;US81->CS49;US8->CS8;US2->CS10;US48->CS56;US80->CS48;US1->CS49;US111->CS15;US115->CS51;US58->CS2;US1->CS41;US83->CS3;US119->CS7;US89->CS1;US81->CS17;US14->CS38;US109->CS45;US94->CS30;US36->CS12;US122->CS58;US95->CS39;US80->CS56;US71->CS23;US70->CS14,-,0
3,random,US126->CS6;US83->CS3;US75->CS11;US100->CS60;US31->CS47;US107->CS51;US26->CS18;US37->CS29;US75->CS27;US26->CS10;US112->CS8;US35->CS35;US75->CS3;US96->CS48;US25->CS49;US71->CS23;US3->CS11;US12->CS60;US70->CS6;US39->CS55;US19->CS19;US73->CS25;US75->CS51;US8->CS40;US44->CS52;US74->CS34;US94->CS6;US10->CS10;US83->CS51;US9->CS17;US98->CS42;US50->CS10;US47->CS7;US77->CS5;US89->CS57;US65->CS41;US6->CS14;US53->CS5;US16->CS24;US121->CS25;US127->CS47,-,0
4,random,US26->CS18;US16->CS32;US27->CS11;US12->CS4;US39->CS55;US62->CS22;US102->CS46;US69->CS13;US98->CS42;US6->CS22;US97->CS33;US0->CS24;US72->CS16;US126->CS62;US85->CS5;US112->CS56;US44->CS4;US30->CS6;US113->CS9;US87->CS39;US102->CS22;US66->CS50;US85->CS37;US11->CS43;US18->CS2;US88->CS24;US121->CS41;US90->CS26;US126->CS54;US91->CS11;US55->CS55;US38->CS38;US106->CS50;US47->CS31;US49->CS17;US120->CS24;US53->CS29;US125->CS21;US114->CS42;US46->CS22;US102->CS6,-,0
5,random,US106->CS26;US28->CS52;US80->CS32;US102->CS22;US18->CS26;US111->CS23;US36->CS4;US78->CS6;US89->CS49;US89->CS9;US87->CS7;US14->CS6;US17->CS41;US72->CS48;US101->CS45;US86->CS38;US123->CS19;US125->CS5;US21->CS13;US96->CS8;US99->CS27;US31->CS55;US31->CS23;US7->CS7;US26->CS18;US67->CS59;US102->CS30;US29->CS21;US36->CS12;US40->CS8;US96->CS48;US70->CS46;US125->CS21;US120->CS32;US90->CS26;US18->CS10;US4->CS36;US103->CS55;US83->CS27;US91->CS27;US9->CS33,-,0
6,random,US33->CS33;US38->CS22;US19->CS19;US22->CS46;US56->CS24;US108->CS12;US109->CS45;US70->CS14;US32->CS56;US32->CS16;US13->CS21;US50->CS26;US65->CS57;US12->CS20;US90->CS10;US69->CS13;US56->CS40;US98->CS18;US103->CS47;US8->CS8;US12->CS12;US114->CS26;US101->CS37;US54->CS22;US26->CS42;US34->CS50;US112->CS0;US73->CS1;US6->CS6;US59->CS43;US73->CS17;US61->CS13;US16->CS8;US28->CS28;US99->CS59;US111->CS55;US97->CS57;US45->CS53;US2->CS34;US99->CS43;US55->CS7,-,0
7,random,US86->CS46;US67->CS27;US27->CS59;US30->CS54;US7->CS15;US113->CS41;US96->CS40;US66->CS58;US13->CS37;US65->CS1;US87->CS63;US48->CS16;US58->CS2;US44->CS36;US41->CS41;US24->CS8;US17->CS25;US116->CS4;US46->CS30;US100->CS28;US107->CS27;US111->CS47;US47->CS47;US45->CS21;US107->CS35;US28->CS52;US98->CS50;US113->CS49;US101->CS5;US14->CS30;US73->CS57;US54->CS46;US114->CS42;US16->CS24;US121->CS25;US82->CS50;US73->CS9;US95->CS15;US1->CS33;US11->CS59;US101->CS29,-,0
8,random,US33->CS57;US50->CS18;US41->CS57;US28->CS20;US14->CS38;US58->CS26;US94->CS14;US77->CS53;US84->CS52;US95->CS39;US37->CS29;US0->CS16;US51->CS19;US57->CS41;US10->CS42;US16->CS8;US80->CS16;US3->CS3;US93->CS45;US50->CS2;US61->CS29;US113->CS33;US83->CS3;US39->CS15;US55->CS55;US45->CS45;US9->CS1;US65->CS25;US84->CS4;US95->CS47;US119->CS23;US52->CS60;US89->CS49;US125->CS5;US11->CS11;US123->CS35;US21->CS21;US105->CS49;US58->CS2;US120->CS16;US94->CS30,-,0
9,random,US36->CS52;US96->CS56;US104->CS48;US68->CS20;US6->CS22;US56->CS8;US101->CS37;US68->CS12;US49->CS41;US77->CS5;US119->CS23;US14->CS54;US71->CS31;US58->CS2;US103->CS31;US88->CS32;US49->CS25;US74->CS50;US56->CS24;US52->CS28;US61->CS29;US41->CS9;US6->CS6;US21->CS21;US37->CS45;US9->CS41;US119->CS31;US5->CS45;US118->CS62;US7->CS15;US44->CS60;US75->CS43;US45->CS5;US54->CS6;US11->CS43;US43->CS35;US65->CS33;US51->CS19;US113->CS1;US46->CS6;US102->CS62,-,0
10,random,US18->CS26;US67->CS11;US103->CS55;US23->CS55;US50->CS18;US57->CS41;US33->CS33;US6->CS22;US105->CS25;US97->CS33;US99->CS51;US93->CS61;US35->CS43;US0->CS32;US115->CS27;US112->CS48;US87->CS63;US76->CS4;US40->CS8;US108->CS60;US86->CS54;US27->CS35;US3->CS59;US84->CS28;US64->CS8;US30->CS22;US26->CS18;US53->CS13;US47->CS31;US87->CS23;US63->CS47;US85->CS21;US40->CS40;US60->CS60;US28->CS20;US115->CS35;US81->CS1;US87->CS47;US117->CS13;US87->CS39;US3->CS19,-,0
11,random,US66->CS42;US62->CS38;US29->CS45;US0->CS48;US38->CS38;US64->CS16;US80->CS16;US99->CS3;US16->CS48;US8->CS40;US107->CS19;US85->CS5;US27->CS35;US29->CS5;US124->CS4;US5->CS45;US26->CS50;US15->CS31;US80->CS0;US30->CS62;US30->CS14;US83->CS27;US3->CS11;US65->CS17;US110->CS46;US72->CS0;US65->CS41;US87->CS47;US18->CS2;US24->CS48;US53->CS21;US121->CS25;US5->CS29;US127->CS63;US112->CS56;US56->CS0;US3->CS59;US4->CS20;US120->CS32;US88->CS0;US101->CS29,-,0
