epoch,policy,chosen,verdict,correct
1,random,US95->CS47;US127->CS15;US48->CS32;US27->CS27;US95->CS15;US82->CS34;US54->CS38;US93->CS45;US67->CS11;US69->CS21;US31->CS15;US42->CS58;US42->CS42;US37->CS37;US3->CS27;US18->CS10;US14->CS30;US45->CS45;US113->CS33;US31->CS55;US103->CS47;US91->CS51;US13->CS29;US80->CS24;US126->CS46;US97->CS57;US71->CS55;US120->CS48;US97->CS17;US33->CS17;US57->CS33;US67->CS43;US69->CS45;US110->CS14;US86->CS38;US122->CS42;US2->CS42;US125->CS13;US37->CS13;US78->CS38;US104->CS0,-,0
2,random,US99->CS27;US71->CS31;US62->CS54;US39->CS47;US126->CS22;US99->CS59;US123->CS35;US105->CS9;US32->CS0;US113->CS49;US2->CS50;US46->CS38;US20->CS28;US84->CS4;US38->CS54;US27->CS51;US65->CS41;US95->CS47;US29->CS21;US108->CS12;US77->CS37;US9->CS49;US32->CS8;US72->CS48;US36->CS12;US85->CS21;US102->CS22;US26->CS10;US3->CS59;US45->CS13;US53->CS13;US103->CS63;US35->CS11;US42->CS18;US46->CS30;US55->CS15;US111->CS23;US61->CS13;US117->CS13;US74->CS42;US125->CS5,-,0
3,random,US40->CS24;US2->CS58;US97->CS1;US77->CS13;US49->CS9;US15->CS23;US112->CS48;US45->CS5;US75->CS27;US13->CS5;US115->CS51;US61->CS21;US13->CS37;US63->CS55;US19->CS11;US11->CS3;US30->CS30;US54->CS22;US1->CS25;US91->CS27;US45->CS61;US91->CS51;US24->CS24;US92->CS44;US75->CS43;US68->CS36;US121->CS33;US93->CS13;US70->CS62;US15->CS31;US44->CS36;US101->CS29;US102->CS62;US52->CS20;US31->CS39;US126->CS62;US20->CS20;US70->CS22;US6->CS46;US115->CS11;US94->CS30,-,0
4,random,US41->CS49;US121->CS25;US25->CS25;US110->CS14;US59->CS19;US81->CS57;US116->CS20;US19->CS35;US34->CS42;US74->CS18;US80->CS48;US127->CS39;US104->CS48;US92->CS4;US100->CS60;US2->CS18;US34->CS2;US64->CS16;US95->CS23;US64->CS32;US106->CS2;US32->CS24;US123->CS35;US98->CS26;US14->CS46;US91->CS35;US78->CS14;US86->CS46;US39->CS47;US51->CS59;US121->CS17;US76->CS44;US60->CS44;US66->CS10;US50->CS26;US3->CS51;US31->CS7;US110->CS54;US109->CS37;US89->CS49;US56->CS8,-,0
5,random,US101->CS29;US59->CS35;US84->CS52;US100->CS44;US98->CS42;US124->CS12;US120->CS56;US33->CS41;US96->CS32;US50->CS10;US89->CS9;US116->CS20;US40->CS16;US34->CS34;US13->CS53;US32->CS24;US85->CS29;US58->CS50;US99->CS3;US77->CS45;US71->CS63;US5->CS61;US68->CS52;US118->CS62;US12->CS60;US29->CS21;US40->CS24;US25->CS57;US1->CS49;US40->CS0;US115->CS51;US15->CS47;US18->CS2;US22->CS54;US91->CS59;US126->CS62;US103->CS47;US93->CS53;US105->CS33;US96->CS16;US114->CS42,-,0
6,random,US42->CS34;US8->CS40;US11->CS59;US89->CS9;US4->CS60;US70->CS46;US21->CS13;US53->CS45;US125->CS53;US29->CS37;US3->CS59;US85->CS61;US64->CS0;US17->CS33;US32->CS32;US122->CS18;US28->CS28;US83->CS35;US5->CS29;US11->CS11;US48->CS32;US108->CS28;US31->CS63;US92->CS12;US97->CS17;US16->CS40;US1->CS57;US109->CS37;US53->CS53;US107->CS59;US20->CS60;US109->CS45;US84->CS4;US19->CS51;US12->CS4;US78->CS46;US68->CS12;US73->CS25;US22->CS22;US72->CS24;US33->CS49,-,0
7,random,US63->CS23;US55->CS31;US120->CS40;US111->CS39;US72->CS32;US67->CS11;US7->CS31;US120->CS48;US7->CS47;US96->CS32;US11->CS43;US37->CS45;US97->CS1;US12->CS20;US102->CS22;US123->CS59;US125->CS53;US39->CS23;US49->CS33;US76->CS52;US114->CS34;US85->CS37;US84->CS44;US115->CS43;US104->CS32;US4->CS20;US117->CS37;US82->CS10;US86->CS54;US86->CS6;US75->CS43;US26->CS26;US0->CS0;US58->CS42;US50->CS18;US65->CS25;US15->CS55;US38->CS54;US28->CS52;US22->CS22;US32->CS8,-,0
8,random,US44->CS20;US36->CS44;US54->CS46;US10->CS18;US50->CS58;US7->CS39;US38->CS54;US11->CS11;US33->CS41;US39->CS39;US0->CS0;US105->CS41;US3->CS51;US24->CS0;US91->CS27;US1->CS25;US83->CS59;US24->CS16;US6->CS14;US40->CS8;US2->CS10;US60->CS12;US98->CS2;US111->CS47;US19->CS59;US99->CS11;US78->CS30;US10->CS2;US101->CS37;US91->CS59;US80->CS48;US23->CS39;US12->CS60;US73->CS17;US90->CS34;US43->CS51;US127->CS31;US22->CS54;US97->CS9;US0->CS56;US30->CS22,-,0
9,random,US10->CS50;US118->CS22;US92->CS12;US68->CS12;US14->CS22;US35->CS43;US120->CS48;US49->CS57;US10->CS10;US50->CS26;US47->CS23;US53->CS61;US19->CS43;US98->CS18;US31->CS31;US8->CS16;US52->CS44;US64->CS16;US118->CS62;US44->CS4;US124->CS4;US119->CS31;US67->CS43;US4->CS4;US92->CS44;US123->CS43;US38->CS38;US98->CS26;US124->CS52;US21->CS5;US5->CS45;US31->CS55;US93->CS29;US51->CS19;US113->CS25;US14->CS30;US73->CS9;US42->CS18;US95->CS55;US94->CS54;US100->CS28,-,0
10,random,US100->CS60;US53->CS21;US62->CS54;US48->CS40;US44->CS52;US96->CS56;US72->CS16;US121->CS25;US76->CS20;US111->CS7;US89->CS41;US125->CS21;US80->CS48;US111->CS39;US57->CS33;US122->CS42;US102->CS46;US102->CS22;US111->CS23;US98->CS58;US112->CS0;US77->CS37;US42->CS58;US105->CS41;US120->CS0;US107->CS11;US55->CS23;US52->CS20;US126->CS46;US110->CS54;US7->CS7;US59->CS43;US33->CS33;US76->CS52;US63->CS63;US116->CS36;US48->CS56;US45->CS29;US107->CS35;US20->CS28;US45->CS37,-,0
