epoch,policy,chosen,verdict,correct
1,extern,US0->CS0;US0->CS8;US0->CS16;US0->CS24;US0->CS32;US0->CS40;US0->CS48;US0->CS56;US1->CS1;US1->CS9;US1->CS17;US1->CS25;US1->CS33;US1->CS41;US1->CS49;US1->CS57;US2->CS2;US2->CS10;US2->CS18;US2->CS26;US2->CS34;US2->CS42;US2->CS50;US2->CS58;US3->CS3;US3->CS11;US3->CS19;US3->CS27;US3->CS35;US3->CS43;US3->CS51;US3->CS59;US4->CS4;US4->CS12;US4->CS20;US4->CS28;US4->CS36;US4->CS44;US4->CS52;US4->CS60;US5->CS5,-,0
2,extern,US5->CS13;US5->CS21;US5->CS29;US5->CS37;US5->CS45;US5->CS53;US5->CS61;US6->CS6;US6->CS14;US6->CS22;US6->CS30;US6->CS38;US6->CS46;US6->CS54;US6->CS62;US7->CS7;US7->CS15;US7->CS23;US7->CS31;US7->CS39;US7->CS47;US7->CS55;US7->CS63;US8->CS0;US8->CS8;US8->CS16;US8->CS24;US8->CS32;US8->CS40;US8->CS48;US8->CS56;US9->CS1;US9->CS9;US9->CS17;US9->CS25;US9->CS33;US9->CS41;US9->CS49;US9->CS57;US10->CS2;US10->CS10,-,0
3,extern,US10->CS18;US10->CS26;US10->CS34;US10->CS42;US10->CS50;US10->CS58;US11->CS3;US11->CS11;US11->CS19;US11->CS27;US11->CS35;US11->CS43;US11->CS51;US11->CS59;US12->CS4;US12->CS12;US12->CS20;US12->CS28;US12->CS36;US12->CS44;US12->CS52;US12->CS60;US13->CS5;US13->CS13;US13->CS21;US13->CS29;US13->CS37;US13->CS45;US13->CS53;US13->CS61;US14->CS6;US14->CS14;US14->CS22;US14->CS30;US14->CS38;US14->CS46;US14->CS54;US14->CS62;US15->CS7;US15->CS15;US15->CS23,-,0
4,extern,US15->CS31;US15->CS39;US15->CS47;US15->CS55;US15->CS63;US16->CS0;US16->CS8;US16->CS16;US16->CS24;US16->CS32;US16->CS40;US16->CS48;US16->CS56;US17->CS1;US17->CS9;US17->CS17;US17->CS25;US17->CS33;US17->CS41;US17->CS49;US17->CS57;US18->CS2;US18->CS10;US18->CS18;US18->CS26;US18->CS34;US18->CS42;US18->CS50;US18->CS58;US19->CS3;US19->CS11;US19->CS19;US19->CS27;US19->CS35;US19->CS43;US19->CS51;US19->CS59;US20->CS4;US20->CS12;US20->CS20;US20->CS28,-,0
5,extern,US20->CS36;US20->CS44;US20->CS52;US20->CS60;US21->CS5;US21->CS13;US21->CS21;US21->CS29;US21->CS37;US21->CS45;US21->CS53;US21->CS61;US22->CS6;US22->CS14;US22->CS22;US22->CS30;US22->CS38;US22->CS46;US22->CS54;US22->CS62;US23->CS7;US23->CS15;US23->CS23;US23->CS31;US23->CS39;US23->CS47;US23->CS55;US23->CS63;US24->CS0;US24->CS8;US24->CS16;US24->CS24;US24->CS32;US24->CS40;US24->CS48;US24->CS56;US25->CS1;US25->CS9;US25->CS17;US25->CS25;US25->CS33,-,0
6,extern,US25->CS41;US25->CS49;US25->CS57;US26->CS2;US26->CS10;US26->CS18;US26->CS26;US26->CS34;US26->CS42;US26->CS50;US26->CS58;US27->CS3;US27->CS11;US27->CS19;US27->CS27;US27->CS35;US27->CS43;US27->CS51;US27->CS59;US28->CS4;US28->CS12;US28->CS20;US28->CS28;US28->CS36;US28->CS44;US28->CS52;US28->CS60;US29->CS5;US29->CS13;US29->CS21;US29->CS29;US29->CS37;US29->CS45;US29->CS53;US29->CS61;US30->CS6;US30->CS14;US30->CS22;US30->CS30;US30->CS38;US30->CS46,-,0
7,extern,US30->CS54;US30->CS62;US31->CS7;US31->CS15;US31->CS23;US31->CS31;US31->CS39;US31->CS47;US31->CS55;US31->CS63;US32->CS0;US32->CS8;US32->CS16;US32->CS24;US32->CS32;US32->CS40;US32->CS48;US32->CS56;US33->CS1;US33->CS9;US33->CS17;US33->CS25;US33->CS33;US33->CS41;US33->CS49;US33->CS57;US34->CS2;US34->CS10;US34->CS18;US34->CS26;US34->CS34;US34->CS42;US34->CS50;US34->CS58;US35->CS3;US35->CS11;US35->CS19;US35->CS27;US35->CS35;US35->CS43;US35->CS51,-,0
8,extern,US35->CS59;US36->CS4;US36->CS12;US36->CS20;US36->CS28;US36->CS36;US36->CS44;US36->CS52;US36->CS60;US37->CS5;US37->CS13;US37->CS21;US37->CS29;US37->CS37;US37->CS45;US37->CS53;US37->CS61;US38->CS6;US38->CS14;US38->CS22;US38->CS30;US38->CS38;US38->CS46;US38->CS54;US38->CS62;US39->CS7;US39->CS15;US39->CS23;US39->CS31;US39->CS39;US39->CS47;US39->CS55;US39->CS63;US40->CS0;US40->CS8;US40->CS16;US40->CS24;US40->CS32;US40->CS40;US40->CS48;US40->CS56,-,0
9,extern,US41->CS1;US41->CS9;US41->CS17;US41->CS25;US41->CS33;US41->CS41;US41->CS49;US41->CS57;US42->CS2;US42->CS10;US42->CS18;US42->CS26;US42->CS34;US42->CS42;US42->CS50;US42->CS58;US43->CS3;US43->CS11;US43->CS19;US43->CS27;US43->CS35;US43->CS43;US43->CS51;US43->CS59;US44->CS4;US44->CS12;US44->CS20;US44->CS28;US44->CS36;US44->CS44;US44->CS52;US44->CS60;US45->CS5;US45->CS13;US45->CS21;US45->CS29;US45->CS37;US45->CS45;US45->CS53;US45->CS61;US46->CS6,-,0
10,extern,US46->CS14;US46->CS22;US46->CS30;US46->CS38;US46->CS46;US46->CS54;US46->CS62;US47->CS7;US47->CS15;US47->CS23;US47->CS31;US47->CS39;US47->CS47;US47->CS55;US47->CS63;US48->CS0;US48->CS8;US48->CS16;US48->CS24;US48->CS32;US48->CS40;US48->CS48;US48->CS56;US49->CS1;US49->CS9;US49->CS17;US49->CS25;US49->CS33;US49->CS41;US49->CS49;US49->CS57;US50->CS2;US50->CS10;US50->CS18;US50->CS26;US50->CS34;US50->CS42;US50->CS50;US50->CS58;US51->CS3;US51->CS11,-,0
11,extern,US51->CS19;US51->CS27;US51->CS35;US51->CS43;US51->CS51;US51->CS59;US52->CS4;US52->CS12;US52->CS20;US52->CS28;US52->CS36;US52->CS44;US52->CS52;US52->CS60;US53->CS5;US53->CS13;US53->CS21;US53->CS29;US53->CS37;US53->CS45;US53->CS53;US53->CS61;US54->CS6;US54->CS14;US54->CS22;US54->CS30;US54->CS38;US54->CS46;US54->CS54;US54->CS62;US55->CS7;US55->CS15;US55->CS23;US55->CS31;US55->CS39;US55->CS47;US55->CS55;US55->CS63;US56->CS0;US56->CS8;US56->CS16,-,0
