epoch,policy,chosen,verdict,correct
1,extern,US0->CS0;US0->CS4;US0->CS8;US0->CS12;US1->CS1;US1->CS5;US1->CS9;US1->CS13;US2->CS2;US2->CS6;US2->CS10;US2->CS14;US3->CS3;US3->CS7;US3->CS11;US3->CS15;US4->CS0;US4->CS4;US4->CS8;US4->CS12;US5->CS1;US5->CS5;US5->CS9;US5->CS13;US6->CS2;US6->CS6;US6->CS10;US6->CS14;US7->CS3;US7->CS7;US7->CS11;US7->CS15,-,0
2,extern,US0->CS0;US0->CS4;US0->CS8;US0->CS12;US1->CS1;US1->CS5;US1->CS9;US1->CS13;US2->CS2;US2->CS6;US2->CS10;US2->CS14;US3->CS3;US3->CS7;US3->CS11;US3->CS15;US4->CS0;US4->CS4;US4->CS8;US4->CS12;US5->CS1;US5->CS5;US5->CS9;US5->CS13;US6->CS2;US6->CS6;US6->CS10;US6->CS14;US7->CS3;US7->CS7;US7->CS11;US7->CS15,-,0
3,extern,US0->CS0;US0->CS4;US0->CS8;US0->CS12;US1->CS1;US1->CS5;US1->CS9;US1->CS13;US2->CS2;US2->CS6;US2->CS10;US2->CS14;US3->CS3;US3->CS7;US3->CS11;US3->CS15;US4->CS0;US4->CS4;US4->CS8;US4->CS12;US5->CS1;US5->CS5;US5->CS9;US5->CS13;US6->CS2;US6->CS6;US6->CS10;US6->CS14;US7->CS3;US7->CS7;US7->CS11;US7->CS15,-,0
4,extern,US0->CS0;US0->CS4;US0->CS8;US0->CS12;US1->CS1;US1->CS5;US1->CS9;US1->CS13;US2->CS2;US2->CS6;US2->CS10;US2->CS14;US3->CS3;US3->CS7;US3->CS11;US3->CS15;US4->CS0;US4->CS4;US4->CS8;US4->CS12;US5->CS1;US5->CS5;US5->CS9;US5->CS13;US6->CS2;US6->CS6;US6->CS10;US6->CS14;US7->CS3;US7->CS7;US7->CS11;US7->CS15,-,0
5,extern,US0->CS0;US0->CS4;US0->CS8;US0->CS12;US1->CS1;US1->CS5;US1->CS9;US1->CS13;US2->CS2;US2->CS6;US2->CS10;US2->CS14;US3->CS3;US3->CS7;US3->CS11;US3->CS15;US4->CS0;US4->CS4;US4->CS8;US4->CS12;US5->CS1;US5->CS5;US5->CS9;US5->CS13;US6->CS2;US6->CS6;US6->CS10;US6->CS14;US7->CS3;US7->CS7;US7->CS11;US7->CS15,-,0
6,extern,US0->CS0;US0->CS4;US0->CS8;US0->CS12;US1->CS1;US1->CS5;US1->CS9;US1->CS13;US2->CS2;US2->CS6;US2->CS10;US2->CS14;US3->CS3;US3->CS7;US3->CS11;US3->CS15;US4->CS0;US4->CS4;US4->CS8;US4->CS12;US5->CS1;US5->CS5;US5->CS9;US5->CS13;US6->CS2;US6->CS6;US6->CS10;US6->CS14;US7->CS3;US7->CS7;US7->CS11;US7->CS15,-,0
7,extern,US0->CS0;US0->CS4;US0->CS8;US0->CS12;US1->CS1;US1->CS5;US1->CS9;US1->CS13;US2->CS2;US2->CS6;US2->CS10;US2->CS14;US3->CS3;US3->CS7;US3->CS11;US3->CS15;US4->CS0;US4->CS4;US4->CS8;US4->CS12;US5->CS1;US5->CS5;US5->CS9;US5->CS13;US6->CS2;US6->CS6;US6->CS10;US6->CS14;US7->CS3;US7->CS7;US7->CS11;US7->CS15,-,0
8,extern,US0->CS0;US0->CS4;US0->CS8;US0->CS12;US1->CS1;US1->CS5;US1->CS9;US1->CS13;US2->CS2;US2->CS6;US2->CS10;US2->CS14;US3->CS3;US3->CS7;US3->CS11;US3->CS15;US4->CS0;US4->CS4;US4->CS8;US4->CS12;US5->CS1;US5->CS5;US5->CS9;US5->CS13;US6->CS2;US6->CS6;US6->CS10;US6->CS14;US7->CS3;US7->CS7;US7->CS11;US7->CS15,-,0
9,extern,US0->CS0;US0->CS4;US0->CS8;US0->CS12;US1->CS1;US1->CS5;US1->CS9;US1->CS13;US2->CS2;US2->CS6;US2->CS10;US2->CS14;US3->CS3;US3->CS7;US3->CS11;US3->CS15;US4->CS0;US4->CS4;US4->CS8;US4->CS12;US5->CS1;US5->CS5;US5->CS9;US5->CS13;US6->CS2;US6->CS6;US6->CS10;US6->CS14;US7->CS3;US7->CS7;US7->CS11;US7->CS15,-,0
10,extern,US0->CS0;US0->CS4;US0->CS8;US0->CS12;US1->CS1;US1->CS5;US1->CS9;US1->CS13;US2->CS2;US2->CS6;US2->CS10;US2->CS14;US3->CS3;US3->CS7;US3->CS11;US3->CS15;US4->CS0;US4->CS4;US4->CS8;US4->CS12;US5->CS1;US5->CS5;US5->CS9;US5->CS13;US6->CS2;US6->CS6;US6->CS10;US6->CS14;US7->CS3;US7->CS7;US7->CS11;US7->CS15,-,0
11,extern,US0->CS0;US0->CS4;US0->CS8;US0->CS12;US1->CS1;US1->CS5;US1->CS9;US1->CS13;US2->CS2;US2->CS6;US2->CS10;US2->CS14;US3->CS3;US3->CS7;US3->CS11;US3->CS15;US4->CS0;US4->CS4;US4->CS8;US4->CS12;US5->CS1;US5->CS5;US5->CS9;US5->CS13;US6->CS2;US6->CS6;US6->CS10;US6->CS14;US7->CS3;US7->CS7;US7->CS11;US7->CS15,-,0
12,extern,US0->CS0;US0->CS4;US0->CS8;US0->CS12;US1->CS1;US1->CS5;US1->CS9;US1->CS13;US2->CS2;US2->CS6;US2->CS10;US2->CS14;US3->CS3;US3->CS7;US3->CS11;US3->CS15;US4->CS0;US4->CS4;US4->CS8;US4->CS12;US5->CS1;US5->CS5;US5->CS9;US5->CS13;US6->CS2;US6->CS6;US6->CS10;US6->CS14;US7->CS3;US7->CS7;US7->CS11;US7->CS15,-,0
13,extern,US0->CS0;US0->CS4;US0->CS8;US0->CS12;US1->CS1;US1->CS5;US1->CS9;US1->CS13;US2->CS2;US2->CS6;US2->CS10;US2->CS14;US3->CS3;US3->CS7;US3->CS11;US3->CS15;US4->CS0;US4->CS4;US4->CS8;US4->CS12;US5->CS1;US5->CS5;US5->CS9;US5->CS13;US6->CS2;US6->CS6;US6->CS10;US6->CS14;US7->CS3;US7->CS7;US7->CS11;US7->CS15,-,0
14,extern,US0->CS0;US0->CS4;US0->CS8;US0->CS12;US1->CS1;US1->CS5;US1->CS9;US1->CS13;US2->CS2;US2->CS6;US2->CS10;US2->CS14;US3->CS3;US3->CS7;US3->CS11;US3->CS15;US4->CS0;US4->CS4;US4->CS8;US4->CS12;US5->CS1;US5->CS5;US5->CS9;US5->CS13;US6->CS2;US6->CS6;US6->CS10;US6->CS14;US7->CS3;US7->CS7;US7->CS11;US7->CS15,-,0
