epoch,policy,chosen,verdict,correct
1,extern,US0->CS0;US0->CS4;US0->CS8;US0->CS12,-,0
2,extern,US0->CS4;US0->CS0;US0->CS12;US0->CS8,-,0
3,extern,US0->CS4;US0->CS12;US0->CS0;US1->CS1,-,0
4,extern,US1->CS1;US0->CS8;US0->CS4;US0->CS12,-,0
5,extern,US1->CS5;US1->CS9;US1->CS13;US2->CS2,-,0
6,extern,US1->CS13;US1->CS9;US1->CS5;US2->CS2,-,0
7,extern,US2->CS6;US2->CS10;US2->CS14;US3->CS3,-,0
8,extern,US2->CS6;US2->CS10;US3->CS3;US2->CS14,-,0
9,extern,US3->CS7;US3->CS11;US3->CS15;US4->CS0,-,0
10,extern,US3->CS15;US3->CS11;US3->CS7;US4->CS0,-,0
11,extern,US4->CS4;US4->CS8;US4->CS12;US5->CS1,-,0
12,extern,US5->CS1;US4->CS8;US4->CS4;US4->CS12,-,0
13,extern,US5->CS5;US5->CS9;US5->CS13;US6->CS2,-,0
14,extern,US5->CS5;US5->CS9;US6->CS2;US5->CS13,-,0
15,extern,US6->CS6;US6->CS10;US6->CS14;US7->CS3,-,0
16,extern,US6->CS6;US6->CS14;US6->CS10;US7->CS3,-,0
17,extern,US7->CS7;US7->CS11;US7->CS15;US8->CS0,-,0
18,extern,US7->CS11;US7->CS7;US8->CS0;US7->CS15,-,0
19,extern,US8->CS4;US8->CS8;US8->CS12;US9->CS1,-,0
20,extern,US8->CS4;US8->CS12;US8->CS8;US9->CS1,-,0
21,extern,US9->CS5;US9->CS9;US9->CS13;US10->CS2,-,0
22,extern,US9->CS5;US9->CS13;US10->CS2;US9->CS9,-,0
23,extern,US10->CS6;US10->CS10;US10->CS14;US11->CS3,US10->CS10,1
24,extern,US10->CS10;US10->CS6;US10->CS14;US11->CS3,US10->CS10,1
25,extern,US11->CS7;US11->CS11;US11->CS15;US12->CS0,-,0
26,extern,US10->CS10;US11->CS15;US12->CS0;US11->CS7,-,0
27,extern,US12->CS4;US12->CS8;US12->CS12;US13->CS1,-,0
28,extern,US10->CS10;US12->CS12;US12->CS8;US13->CS1,US10->CS10,1
29,extern,US13->CS5;US13->CS9;US13->CS13;US14->CS2,-,0
30,extern,US10->CS10;US14->CS2;US13->CS13;US13->CS9,-,0
31,extern,US0->CS0;US14->CS6;US14->CS10;US14->CS14,-,0
32,extern,US10->CS10;US8->CS4;US8->CS12;US8->CS0,-,0
33,extern,US15->CS3;US15->CS7;US15->CS11;US15->CS15,-,0
34,extern,US10->CS10;US15->CS11;US15->CS7;US15->CS3,-,0
35,extern,US0->CS12;US1->CS1;US0->CS4;US0->CS8,-,0
36,extern,US1->CS13;US1->CS5;US2->CS2;US1->CS9,-,0
37,extern,US2->CS10;US2->CS6;US2->CS14;US3->CS3,-,0
38,extern,US10->CS10;US3->CS7;US3->CS11;US3->CS15,-,0
39,extern,US4->CS0;US5->CS1;US4->CS8;US4->CS4,-,0
40,extern,US10->CS10;US4->CS12;US6->CS2;US5->CS9,-,0
41,extern,US16->CS0;US16->CS4;US16->CS8;US16->CS12,-,0
42,extern,US10->CS10;US16->CS0;US16->CS8;US16->CS4,-,0
43,extern,US5->CS13;US5->CS5;US6->CS10;US6->CS6,-,0
44,extern,US10->CS10;US7->CS3;US6->CS14;US17->CS1,-,0
45,extern,US7->CS11;US7->CS7;US7->CS15;US8->CS8,-,0
46,extern,US10->CS10;US17->CS5;US17->CS9;US17->CS13,-,0
47,extern,US17->CS13;US17->CS5;US17->CS9;US10->CS10,-,0
48,extern,US9->CS1;US18->CS2;US18->CS6;US18->CS10,-,0
49,extern,US10->CS10;US9->CS5;US9->CS13;US18->CS6,-,0
50,extern,US18->CS14;US19->CS3;US19->CS7;US19->CS11,-,0
51,extern,US10->CS10;US19->CS11;US19->CS7;US19->CS3,-,0
52,extern,US19->CS15;US20->CS0;US20->CS4;US20->CS8,-,0
53,extern,US10->CS10;US20->CS8;US20->CS0;US20->CS4,-,0
54,extern,US9->CS9;US10->CS2;US20->CS12;US21->CS1,-,0
55,extern,US10->CS10;US11->CS3;US11->CS11;US10->CS14,-,0
