srcNode_dstNode_flowId,flowSizeBytes,startTimeNs,endTimeNs,fctNs,baseRttNs,targetRttNs,rtoNs,bdpBytes,maxCwndBytes,oooCount,oooAvgDistance,oooMaxDistance,totalPackets
0_62_3,2000000,0.000000,177883.520000,177883.520000,10264.960000,10497.600000,99541.440000,128312,192468,307,5.941368,16,497
168907840_14_25,2000000,0.000000,178139.520000,178139.520000,10241.280000,10497.600000,99541.440000,128016,192024,290,5.637931,17,497
0_117_97,2000000,0.000000,182271.360000,182271.360000,9947.520000,10497.600000,99541.440000,124344,186516,319,8.047022,20,497
0_12_52,2000000,0.000000,185855.360000,185855.360000,13996.800000,10497.600000,99541.440000,174960,262440,340,7.405882,24,497
0_1_31,2000000,0.000000,186327.680000,186327.680000,13996.800000,10497.600000,99541.440000,174960,262440,350,9.897143,28,497
0_10_37,2000000,0.000000,186778.240000,186778.240000,9942.400000,10497.600000,99541.440000,124279,186418,314,10.076433,30,497
0_53_21,2000000,0.000000,187244.160000,187244.160000,9937.280000,10497.600000,99541.440000,124216,186324,316,12.702532,33,497
0_63_92,2000000,0.000000,187328.000000,187328.000000,13996.800000,10497.600000,99541.440000,174960,262440,376,9.039894,25,497
0_48_82,2000000,0.000000,187815.680000,187815.680000,13996.800000,10497.600000,99541.440000,174960,262440,354,8.217514,26,497
0_87_15,2000000,0.000000,188195.200000,188195.200000,13996.800000,10497.600000,99541.440000,174960,262440,376,11.452128,34,497
0_58_22,2000000,0.000000,188747.520000,188747.520000,13996.800000,10497.600000,99541.440000,174960,262440,366,9.344262,31,497
0_20_80,2000000,0.000000,189070.720000,189070.720000,13996.800000,10497.600000,99541.440000,174960,262440,393,12.325700,36,497
0_49_54,2000000,0.000000,189874.560000,189874.560000,13978.880000,10497.600000,99541.440000,174736,262104,364,10.167582,33,497
169424608_61_27,2000000,0.000000,190074.240000,190074.240000,13996.800000,10497.600000,99541.440000,174960,262440,348,14.399425,33,497
0_94_64,2000000,0.000000,190355.840000,190355.840000,13996.800000,10497.600000,99541.440000,174960,262440,376,9.513298,33,497
0_11_113,2000000,0.000000,190437.120000,190437.120000,13996.800000,10497.600000,99541.440000,174960,262440,351,8.341880,26,497
0_68_90,2000000,0.000000,190539.520000,190539.520000,13996.800000,10497.600000,99541.440000,174960,262440,384,11.591146,36,497
0_7_39,2000000,0.000000,190549.760000,190549.760000,13996.800000,10497.600000,99541.440000,174960,262440,382,18.222513,50,497
0_116_5,2000000,0.000000,190893.440000,190893.440000,13996.800000,10497.600000,99541.440000,174960,262440,390,11.538462,33,497
0_124_77,2000000,0.000000,191067.520000,191067.520000,13996.800000,10497.600000,99541.440000,174960,262440,378,12.716931,36,497
858939186_34_105,2000000,0.000000,191502.080000,191502.080000,13996.800000,10497.600000,99541.440000,174960,262440,361,9.977839,33,497
0_0_110,2000000,0.000000,191661.440000,191661.440000,13996.800000,10497.600000,99541.440000,174960,262440,355,8.907042,26,497
170063136_59_29,2000000,0.000000,191774.080000,191774.080000,13996.800000,10497.600000,99541.440000,174960,262440,377,11.405836,36,497
0_32_1,2000000,0.000000,191856.000000,191856.000000,13996.800000,10497.600000,99541.440000,174960,262440,353,8.424929,26,497
0_66_99,2000000,0.000000,191891.200000,191891.200000,13996.800000,10497.600000,99541.440000,174960,262440,369,10.243902,35,497
0_55_10,2000000,0.000000,192210.560000,192210.560000,9800.320000,10497.600000,99541.440000,122503,183754,337,18.427300,38,497
0_88_119,2000000,0.000000,192355.840000,192355.840000,9937.280000,10497.600000,99541.440000,124216,186324,329,17.398176,36,497
0_46_98,2000000,0.000000,192419.200000,192419.200000,9564.800000,10497.600000,99541.440000,119560,179340,330,15.472727,42,497
0_67_112,2000000,0.000000,192874.880000,192874.880000,13996.800000,10497.600000,99541.440000,174960,262440,374,10.425134,26,497
0_102_74,2000000,0.000000,192915.200000,192915.200000,13996.800000,10497.600000,99541.440000,174960,262440,404,15.443069,43,497
0_113_65,2000000,0.000000,192933.120000,192933.120000,13996.800000,10497.600000,99541.440000,174960,262440,370,10.208108,29,497
0_30_73,2000000,0.000000,193232.640000,193232.640000,13996.800000,10497.600000,99541.440000,174960,262440,396,12.704545,36,497
0_37_84,2000000,0.000000,193306.240000,193306.240000,9995.520000,10497.600000,99541.440000,124944,187416,317,11.706625,29,497
0_121_91,2000000,0.000000,193468.800000,193468.800000,13996.800000,10497.600000,99541.440000,174960,262440,374,11.438503,32,497
0_64_81,2000000,0.000000,193832.320000,193832.320000,13996.800000,10497.600000,99541.440000,174960,262440,358,12.474860,38,497
